Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 178	P19-P1	main_driving	1	main_driving	4648	183648	270	90	3	120	2.81852	1	72.35	72.35	72.35		2.96	2.96	2.96	2.96	4328	349.67	72.35	51.41	2.96
Recording 178	P19-P1	main_driving	2	main_driving	38890	207832	11110	188	59	60	3.51742	31	112.69	30.03	385.71	85.87	3.49	0.32	11.07	108.21	571	274.71	57.51	47.42	1.74
Recording 115	P15-P1	main_driving	1	main_driving	4208	189541	671	671	1	671	4.71425	0													
Recording 115	P15-P1	main_driving	2	main_driving	2785	203346	2424	404	6	60	4.75877	4	53.51	34.13	91.43	26.42	1.68	1.15	1.9	6.72	130	283.02	36.88	36.88	1.9
Recording 115	P15-P1	main_driving	3	main_driving	34332	219025	15088	186	81	301	5.68231	40	71.73	30.83	203.4	46.33	1.88	0.5	7.15	75.35	641	77.78	36.55	34.27	0.59
Recording 94	P13-M1	main_driving	1	main_driving	2444	230658	912	152	6	70	4.59392	2	99.97	76.39	123.54	33.34	2.41	1.56	3.26	4.82	431	282.15	123.54	71.8	3.26
Recording 94	P13-M1	main_driving	2	main_driving	511	241558	240	120	2	80	4.47209	0													
Recording 94	P13-M1	main_driving	3	main_driving	40	248090	0		0			0													
Recording 94	P13-M1	main_driving	4	main_driving	761	259020	601	200	3	80	4.44476	2	51.1	44.1	58.11	9.91	1.58	1.42	1.74	3.16	170	103.16	58.11	43.46	1.74
Recording 94	P13-M1	main_driving	5	main_driving	20056	264800	9016	392	23	80	4.81055	16	89.51	33	164.36	43.18	3.21	1.26	4.99	51.28	170	102.36	121.3	89.58	4.09
Recording 72	P09-P1	main_driving	1	main_driving	391	196127	120	120	1	120	4.92809	0													
Recording 72	P09-P1	main_driving	2	main_driving	10689	218528	3667	262	14	140	4.97684	9	116.5	34.25	173.32	55.42	3.69	1.39	6.72	33.23	4268	216.01	168.49	101.69	3.12
Recording 374	P35-J1	main_driving	1	main_driving	12122	176923	7253	330	22	70	4.01784	15	52.9	30.31	101.8	26.31	1.39	0.87	2.29	20.82	1954	317.11	32.18	32.18	1.13
Recording 61	P06-J2	main_driving	1	main_driving	521	147940	281	140	2	120	4.22812	1	134.26	134.26	134.26		3.38	3.38	3.38	3.38	270	204.31	134.26	98.79	3.38
Recording 61	P06-J2	main_driving	2	main_driving	3236	157236	1112	185	6	90	3.91916	2	107.39	55.55	159.24	73.32	2.17	1.69	2.64	4.34	200	115.65	159.24	103.47	2.64
Recording 61	P06-J2	main_driving	3	main_driving	27269	168286	10038	251	40	60	3.89528	21	106.23	31.29	287.45	76.89	2.58	0.53	5.85	54.23	9297	99.87	37.51	37.35	0.75
Recording 165	P18-W1	main_driving	1	main_driving	491	204004	0		0			0													
Recording 165	P18-W1	main_driving	2	main_driving	681	214513	0		0			1	103.92	103.92	103.92		3.37	3.37	3.37	3.37	421	160.3	103.92	77.29	3.37
Recording 165	P18-W1	main_driving	3	main_driving	19315	227256	7974	235	34	60	4.32245	18	117.55	33.98	344.14	88.66	2.89	0.81	8.52	51.96	7003	328.9	38.63	38.63	1.27
Recording 189	P25-W1	main_driving	1	main_driving	5119	196431	150	150	1	150	3.93185	0													
Recording 189	P25-W1	main_driving	2	main_driving	24134	220344	10779	327	33	80	3.34488	22	86.65	31.44	283.33	60.23	2.39	0.77	5.44	52.57	4047	218.96	99.89	63.15	3.19
