"id","task","drv_percentage","pupil_raw","pupil_z","pupil_change","fix_count","fix_dur","switch_count","grid_transition","entropy_log2","spatial_density","drv_scanpath_len","drv_saccade_len","drv_convex_hull","drv_fix_count","drv_fix_dur","drv_grid_transition","drv_entropy_log2","drv_spatial_density","drv_NNI"
"20","M",1,5.41110038075459,2.4162756553264,0.243727699854531,62,17.221046,0,40.2333333333333,8.05374952436036,0.0285493827160494,0,0,0,0,0,0,0,0,0
"20","P",1,5.36303344594595,2.30674700575842,0.232679636787501,60,22.1006,0,27.7666666666667,7.23541324927062,0.0192901234567901,0,0,0,0,0,0,0,0,0
"20","W",1,5.4476512118019,2.49956291258832,0.252128815677095,75,20.617316,0,36.5,7.69966093942919,0.0248360339506173,0,0,0,0,0,0,0,0,0
"21","D",0.0294815316841749,4.24696069129109,-2.30289440779532,-0.0840223255793772,46,23.923102,5,22.4,5.80011265842974,0.0141782407407407,5026.96487449645,116.90615987201,80661.5,44,23.71267,35.9287709497207,7.27918680637632,0.0552300347222222,973.542315323243
"21","J",0.905725059993144,5.17136201576963,3.16155656278898,0.115351070356102,80,20.296748,6,34.6333333333333,8.46139365636379,0.0328896604938272,189.046058819569,47.2615147048923,1917.5,5,1.502795,60,5.91765569601929,0.0144314236111111,147.843981496148
"21","M",0.854911489066296,4.93039708434571,1.73713080902995,0.0633801401906285,71,19.615879,18,38.2333333333333,8.13643648949792,0.0277777777777778,1015.7516350445,78.1347411572689,11584,14,2.284035,58.8516746411483,6.81757115443735,0.0210503472222222,234.955018822277
"21","P",1,5.11919384184745,2.85317272443448,0.104099522225224,81,22.550324,0,24.3,7.56251531759548,0.0187596450617284,0,0,0,0,0,0,0,0,0
"21","W",0.862237762237762,4.80562132867133,0.99953883339653,0.0364687052105337,73,20.136696,12,35.4,7.8090346173499,0.0224729938271605,673.604316920466,84.2005396150582,4427,9,1.54296800000001,66.243654822335,7.05989480723477,0.0209418402777778,201.539202731743
"22","D",0.0283901135604543,3.58042685370741,3.69741016739676,0.164328604847237,84,24.043163,11,36.9666666666667,6.03303198382595,0.00887345679012346,5236.69831487821,68.9039251957659,47733,77,22.62069,57.3392918528704,7.62160000262182,0.0569661458333333,1097.09026157556
"22","J",0.982948846539619,4.82287027749916,12.7882047865262,0.568362111837375,83,25.96711,2,22.1333333333333,7.64058311390283,0.017602237654321,66.5675890481834,33.2837945240917,278,3,0.310471,56.8627450980392,4.55243680317221,0.00303819444444444,27.5645682975311
