Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 18	P03-J0	A	1	scenevideo	30000	68394	7854	125	63	140	4.10142	23	85.48	30.03	508.44	109.91	1.56	0.53	4.66	35.9	1761	276.56	48.53	48.04	1.14
Recording 15	P03-W0	A	1	scenevideo	30000	105359	4208	98	43	60	4.36608	8	176.37	32.29	594.89	195.56	3.93	0.66	13.86	31.48	417	240.64	44.71	44.71	0.66
Recording 222	P37-B0	A	1	scenevideo	30000	275914	25366	705	36	481	3.11359	28	187.42	32.21	358.86	95.71	6.22	0.89	17.04	174.23	185	0.34	323.78	198.71	12.49
Recording 225	P37-M0	A	1	scenevideo	30000	90065	25947	603	43	1202	4.40598	28	88.21	31.47	408.73	86.88	2.37	0.55	15.85	66.42	89	357.6	48.07	46.64	0.57
Recording 100	P14-P0	A	1	scenevideo	30000	85886	27379	608	45	982	3.94092	43	98.9	30.26	386.5	84.13	3.16	0.67	11.46	135.91	873	200.08	70.26	47.99	1.48
Recording 3 (3)	P50-J0	A	1	scenevideo	30000	86723	21439	271	79	60	5.41182	42	89.92	30.06	305.93	70.62	2.99	0.57	11.57	125.54	449	128.17	48.73	41.92	2.49
Recording 115	P15-P1	A	1	scenevideo	30000	189841	22391	246	91	200	4.9203	69	121.35	30.03	495.16	109.77	3.8	0.59	17.72	261.96	502	272.58	266.11	147.29	17.55
Recording 115	P15-P1	B	1	scenevideo	28334	219841	15929	187	85	361	5.75089	42	79.19	30.83	278.16	57.62	2.18	0.5	8.93	91.49	426	101.22	32.6	32.6	1.59
Recording 115	P15-P1	C	1	scenevideo	5868	248175	3206	200	16	351	5.8311	9	150.02	34.15	395.3	132.25	5.48	1.08	16.43	49.3	1144	54.54	51.63	47.9	1.08
Recording 370	P35-W0	A	1	scenevideo	30000	85630	22721	473	48	611	3.67406	34	157.45	34.12	574.75	146.36	4.91	0.53	25.11	167.1	123	31.03	116.68	78.44	3.05
Recording 94	P13-M1	A	1	scenevideo	30000	232033	14266	246	58	200	4.36439	30	119.72	30.39	728.62	143.34	2.74	0.65	9.19	82.23	2072	102.32	266.03	136.74	9.19
Recording 94	P13-M1	B	1	scenevideo	15885	262033	10279	354	29	140	5.00448	17	77.32	33	164.36	44.64	2.88	0.75	5.32	48.89	1274	276.22	34.08	34.08	1.17
Recording 94	P13-M1	C	1	scenevideo	7374	277918	2975	248	12	210	4.45573	6	183.85	90.81	379.08	106.24	5.86	2.35	11.72	35.17	247	257.16	181.51	119.01	6.36
Recording 72	P09-P1	A	1	scenevideo	30000	184204	25366	373	68	150	5.41733	52	67.32	30.75	350.46	63.01	2.35	0.52	15	122.07	122	307.7	35.55	35.16	1.81
Recording 72	P09-P1	B	1	scenevideo	10967	214204	7654	450	17	411	5.351	12	129.91	31.05	409.2	133.13	7.14	1.4	30.26	85.63	567	64.08	45.3	42.58	4.54
Recording 72	P09-P1	C	1	scenevideo	4662	225171	2304	209	11	170	4.85769	7	94.34	31.83	173.32	59.34	3.13	1.39	5.31	21.91	1061	233.1	34.25	34.25	1.39
Recording 57	P06-W0	A	1	scenevideo	30000	77860	21368	254	84	80	3.47393	59	232.07	32.16	600.69	172.31	7.02	0.7	17.31	414.3	592	214.78	459.27	202.81	14.95
Recording 206	P27-P0	A	1	scenevideo	30000	84084	24354	304	80	150	4.14541	67	122.91	30.15	498.37	108.44	3.76	0.71	15.7	251.91	265	351.08	221.86	119.09	5.81
Recording 374	P35-J1	A	1	scenevideo	30000	144785	14196	143	99	501	3.84645	33	127.48	36.14	468.34	104.48	3.64	0.59	15.7	120.03	1834	304.91	53.59	42.77	0.93
Recording 374	P35-J1	B	1	scenevideo	11026	174785	7213	289	25	160	4.07152	12	104.79	30.42	450.99	144.04	4.46	0.94	32.63	53.57	496	221.22	365.39	175.65	8.5
Recording 374	P35-J1	C	1	scenevideo	3938	185811	1703	170	10	160	3.69233	6	65.5	30.31	101.8	29.96	1.64	0.87	2.29	9.84	870	141.41	101.8	64.83	2.05
Recording 350	P45-W0	A	1	scenevideo	30000	92249	17521	216	81	70	4.64972	58	134.95	30.33	587.35	141.32	4.94	0.59	29.39	286.38	872	90.58	254.55	122.01	10.48
Recording 337	P29-B0	A	1	scenevideo	30000	256707	22441	641	35	1102	3.50149	16	68.8	30.07	194.24	42.8	2.19	0.74	5.6	35	2739	22.85	30.07	30.07	5.6
Recording 61	P06-J2	A	1	scenevideo	30000	145017	21429	216	99	290	4.23714	57	169.34	36.18	773.98	154.01	5.38	0.75	35.78	306.51	298	4.38	95.55	85.57	1.52
Recording 61	P06-J2	B	1	scenevideo	15433	175017	10048	205	49	160	3.96608	29	152.67	31.29	784.64	179.19	4.83	0.56	37.01	139.99	332	62.2	361.88	219.7	10.84
Recording 61	P06-J2	C	1	scenevideo	4294	190450	2785	174	16	100	3.77725	12	303.08	47.51	537.92	165.46	10.61	0.81	27.17	127.34	187	30.97	58.97	46.96	0.81
Recording 69	P09-W0	A	1	scenevideo	30000	88233	25947	412	63	140	5.25684	52	101.15	38.6	201.23	41.88	3.32	0.87	6.85	172.75	338	17.53	69.79	58.9	3.39
Recording 67	P09-P0	A	1	scenevideo	30000	88349	26518	379	70	301	5.65307	67	93.43	30.6	343.68	80.5	3.17	0.54	12.36	212.34	131	104.5	172.05	112.93	8.08
Recording 165	P18-W1	A	1	scenevideo	30000	196082	25226	526	48	1062	4.4008	31	75.94	30.26	372.62	67.75	2.71	0.6	15.76	83.89	48	280.18	56.67	44.68	2.34
Recording 165	P18-W1	B	1	scenevideo	14450	226082	10659	381	28	341	4.49017	15	226.66	38.63	617.03	199.55	9.7	1.12	26.35	145.49	2156	280.09	409.59	254.69	25.01
Recording 165	P18-W1	C	1	scenevideo	6605	240532	4418	192	23	60	4.13333	16	211.35	33.98	516.84	158.98	8.86	0.81	27.22	141.74	108	22.09	73.73	72.13	1.37
Recording011	P28-B0	A	1	fullstream	30000	265058	25065	696	36	140	3.22343	31	128.73	30.9	358.81	109.29	6.04	0.9	21.84	187.22	915	272.48	358.81	203.9	20.86
Recording 189	P25-W1	A	1	scenevideo	30000	191581	21679	258	84	200	3.60477	57	163.05	32.16	490.2	123.64	4.92	0.94	16.43	280.6	602	254.91	131.3	77.23	6.65
Recording 189	P25-W1	B	1	scenevideo	15527	221581	12072	302	40	220	3.40046	25	107.45	31.44	283.33	74.57	2.97	0.77	6.79	74.28	376	4.01	223.32	125.65	6.39
Recording 189	P25-W1	C	1	scenevideo	2571	237108	852	170	5	70	3.38829	3	191.63	71.37	390.39	173.4	7.22	2.26	14.36	21.67	177	107.55	71.37	52.86	2.26
Recording 54	P06-B0	A	1	scenevideo	30000	263578	24655	474	52	60	2.89223	42	144.09	32.46	761.08	148.53	5.09	0.77	41.33	213.63	1626	297.78	39.52	36.62	1.05
Recording 159	P21-D1	A	1	scenevideo	30000	237185	24384	530	46	160	4.23002	23	108.88	36.52	303.71	85.02	2.97	0.85	11.92	68.23	1927	6.78	37.82	37.82	1.67
Recording 159	P21-D1	B	1	scenevideo	14650	267185	12392	413	30	180	4.6518	20	124.33	31.26	482.79	137.88	3.55	0.05	22.67	70.99	1451	225.11	65.31	47.58	2.9
Recording 159	P21-D1	C	1	scenevideo	12988	281835	9948	293	34	681	4.37836	27	208.43	32.18	743.93	171.5	6.88	1.01	31.75	185.82	826	182.51	153.86	94.41	4.72
Recording 160	P18-B0	A	1	scenevideo	30000	267405	21298	410	52	130	3.54799	32	171.68	47.3	345.21	92.17	5.81	1.38	18.85	185.79	160	181.14	290.54	168.34	10.03
Recording 131	P20-J0	A	1	scenevideo	30000	94945	19525	186	105	90	5.81842	51	190.58	31.36	598.49	139.78	5	0.62	14.93	255.25	204	142.33	71.22	55.26	2.18
Recording 354	P45-J1	A	1	scenevideo	30000	144372	21018	247	85	250	5.24068	60	99.55	30.44	335.1	74.54	2.96	0.52	11.04	177.32	175	95.8	80.89	61.45	2.45
Recording 354	P45-J1	B	1	scenevideo	11016	174372	7383	336	22	80	5.15165	13	122.21	33.12	567.29	148.82	4.95	0.86	28	64.38	159	269.98	38.13	38.13	0.86
Recording 354	P45-J1	C	1	scenevideo	4029	185388	1533	255	6	501	4.64359	3	48.86	38.08	63.57	13.19	1.41	0.54	2.36	4.22	283	63.28	63.57	49.78	2.36
Recording 277	P42-W0	A	1	scenevideo	30000	95285	18243	228	80	140	5.20147	43	75.53	31.26	230.6	52.3	2.3	0.52	6.77	98.88	350	163.56	63.42	54.57	1.34
Recording 65	P09-B0	A	1	scenevideo	30000	248680	23012	324	71	291	3.61432	58	114.37	30.29	811.18	115.54	3.7	0.19	15.7	214.52	1883	30.91	49.7	47.8	1.7
Recording 279	P42-M0	A	1	scenevideo	30000	130309	8135	125	65	180	4.55774	19	102.6	33.21	245.75	59.81	1.96	0.49	5.14	37.19	1215	82.9	68.54	51.53	1.14
Recording 318	P32-W0	A	1	scenevideo	30000	91233	27300	881	31	160	4.61684	25	66.51	33.08	121.61	27.64	1.89	0.66	3.44	47.29	1550	105.99	42.93	37.64	1.52
Recording 39	P04-M1	A	1	scenevideo	30000	226617	12793	474	27	721	3.98998	21	93.46	39.49	243.11	60.15	2.25	0.53	7.48	47.17	304	343.92	243.11	150.48	7.48
Recording 39	P04-M1	B	1	scenevideo	21700	256617	14697	420	35	80	4.05851	27	132.84	30.92	432.84	98.42	4.22	1.21	9.8	113.85	3314	273.74	40.6	38.36	4.43
Recording 39	P04-M1	C	1	scenevideo	4586	278317	2865	260	11	461	3.94812	8	208.75	100.23	259.94	51.76	5.9	2.46	7.68	47.16	47	267.61	236.42	159.93	6.65
Recording 88	P13-B0	A	1	scenevideo	30000	302828	26338	823	32	130	3.37466	17	96.19	30.87	189.95	59.76	3.27	1.03	6.06	55.51	340	198.84	43.52	38.32	1.14
Recording 204	P27-W0	A	1	scenevideo	30000	45772	22671	333	68	511	5.74536	56	99.77	30.19	384.47	67.59	2.66	0.62	5.84	149.2	144	238.6	153.87	115.2	3.9
Recording 210	P27-D1	A	1	scenevideo	30000	209473	15608	265	59	641	3.32385	33	151.33	31.79	464.66	132.6	5.54	0.71	21.24	182.79	181	351.06	45.29	37.73	2.26
Recording 210	P27-D1	B	1	scenevideo	9127	239473	5119	341	15	120	4.36684	10	175.09	45.8	596.86	194.41	7.27	1.29	29.35	72.69	3051	258.06	78	75.02	2.34
Recording 377	P44-B0	A	1	scenevideo	30000	268404	17592	451	39	391	3.82992	35	146.64	36.75	361.64	94.53	5.39	1.03	20.95	188.59	35	30.8	119.76	90.25	4.74
Recording 22	P03-P1	A	1	scenevideo	30000	168258	5050	101	50	70	3.81075	11	101.14	30.31	302	80.08	2.41	0.92	6.12	26.46	5407	82.39	117.55	72.13	3.83
Recording 22	P03-P1	B	1	scenevideo	12533	198258	4859	162	30	140	4.64144	10	83.27	31.45	414.96	117.43	1.33	0.7	2.86	13.28	4449	50.67	31.45	31.4	0.7
Recording 22	P03-P1	C	1	scenevideo	1919	210791	591	118	5	130	4.67608	2	36.79	34.07	39.52	3.85	0.8	0.67	0.93	1.6	241	142.57	34.07	33.93	0.67
Recording 403	P33-M1	A	1	scenevideo	30000	227110	19656	246	80	100	5.72445	36	124.29	30.15	428.51	95.82	2.62	0.2	8.23	94.18	295	85.8	428.51	157.91	8.22
Recording 403	P33-M1	B	1	scenevideo	13566	257110	4849	162	30	160	5.86096	11	83.59	30.34	173.77	52.27	2	0.71	4.11	22.03	390	237.36	64.49	52.31	1.72
Recording 403	P33-M1	C	1	scenevideo	3047	270676	862	123	7	281	5.99124	0													
Recording 341	P29-W0	A	1	scenevideo	30000	85878	25316	506	50	190	4.32722	33	122.14	31.32	445.74	107.22	3.74	0.52	11.63	123.33	577	333.82	263.08	260.28	6.28
Recording 122	P17-M0	A	1	scenevideo	30000	86275	21790	208	105	371	4.32433	66	52.36	30.56	160.36	26.55	1.46	0.54	2.94	96.09	2629	243.16	51.33	50.21	1.11
Recording 236	P38-J0	A	1	scenevideo	30000	88633	22982	230	100	431	4.71159	66	155.05	31.63	468.67	112.4	4.34	0.72	13.04	286.64	122	301.01	274.47	157.68	6.05
Recording 317	P32-J0	A	1	scenevideo	30000	93365	25807	319	81	60	4.05805	70	173.3	31.27	499.12	117.76	5.63	0.53	19.8	393.89	893	212.77	80.54	56.43	3.61
Recording 414	P47-M1	A	1	scenevideo	30000	222864	23903	885	27	511	3.29197	23	149.15	33.27	351.83	110.35	4.34	0.6	11.13	99.81	4940	357.02	70.64	50.9	3.62
Recording 414	P47-M1	B	1	scenevideo	12566	252864	8525	406	21	441	3.11812	15	103.92	30.89	425.03	108.88	2.94	0.59	11.95	44.14	215	27.14	78.79	56.55	1.98
Recording 414	P47-M1	C	1	scenevideo	3067	265430	1513	756	2	180	3.00596	2	105.32	95.4	115.23	14.02	3.37	3.16	3.58	6.74	853	156.08	115.23	83.27	3.16
Recording 399	P33-M0	A	1	scenevideo	30000	91278	21959	323	68	180	4.73503	37	97.35	31.88	358.75	77.62	1.97	0.52	7.37	73.07	3978	268.1	49.73	47.72	1.39
Recording 315	P41-D1	A	1	scenevideo	30000	206978	22270	348	64	491	3.57854	38	130.62	30.23	358.22	94.8	3.98	0.62	16.64	151.26	945	294.19	92.66	71.64	3.34
Recording 315	P41-D1	B	1	scenevideo	13567	236978	9447	215	44	140	4.21678	31	195.39	30.31	470.11	128.91	5.99	0.65	28.49	185.71	1841	80.31	65.59	48.54	4.64
Recording 217	P23-W1	A	1	scenevideo	30000	196548	21900	608	36	60	5.63165	21	85.84	31.08	314.37	64.67	2.06	0.54	5.47	43.34	3938	78.24	68.9	65.42	2.22
Recording 217	P23-W1	B	1	scenevideo	12352	226548	7954	295	27	1102	5.69102	15	123.69	30.66	472.56	125.07	5.17	0.75	40.47	77.6	1528	275.54	38.1	38.07	1.01
Recording 217	P23-W1	C	1	scenevideo	2144	238900	571	114	5	60	5.30856	1	551.32	551.32	551.32		38.62	38.62	38.62	38.62	1518	95.71	551.32	272.83	38.62
Recording036	P34-W0	A	1	fullstream	30000	72468	20188	421	48	80	5.64178	41	77.26	31.49	263.79	51.92	3	0.8	6.81	122.94	479	89.75	39.84	39.5	3.19
Recording 344	P29-P1	A	1	scenevideo	30000	172107	21569	234	92	160	4.05291	73	109.1	30.23	467.04	97.1	3.31	0.72	19.3	241.88	1497	99.92	212.94	114.79	6.03
Recording 344	P29-P1	B	1	scenevideo	14283	202107	9958	383	26	180	4.18011	17	74.87	30.11	533.55	118.97	3.26	0.91	23.75	55.41	68	213.18	31.06	31.06	1.5
Recording 344	P29-P1	C	1	scenevideo	2751	216390	140	140	1	140	3.84033	0													
Recording 183	P25-J0	A	1	scenevideo	30000	94578	19926	197	101	150	3.96646	55	122.89	30.11	441.83	103.96	3.47	0.52	15.31	191.05	31	184.41	31.54	31.54	1.82
Recording 56	P06-J0	A	1	scenevideo	30000	74784	22861	246	93	210	4.66579	66	186.5	33.41	589.43	133.93	4.99	0.47	19.75	329.3	322	57.24	188.43	128.92	5.49
Recording 412	P47-J1	A	1	scenevideo	30000	148158	27450	450	61	190	3.13674	60	130.43	31.55	377.63	80.56	3.09	0.77	9.57	185.19	318	9.76	263.96	158.29	6.5
Recording 412	P47-J1	B	1	scenevideo	41200	178158	23563	207	114	852	3.00446	53	77.33	30.05	237.51	60.52	1.74	0.22	7.97	92.25	62	92.68	104.65	79.88	2.37
Recording 412	P47-J1	C	1	scenevideo	4683	219358	2735	228	12	140	2.87998	9	149.87	30.6	481.12	166.02	4.95	0.44	18.33	44.59	928	153.45	161.79	111.57	3.25
Recording 126	P17-M1	A	1	scenevideo	30000	226726	21930	281	78	110	4.64812	41	51.93	30.81	100.97	16.01	1.18	0.57	2.41	48.32	2529	260.52	56.32	50.37	1.05
Recording 126	P17-M1	B	1	scenevideo	14683	256726	4619	132	35	80	4.31392	16	117.72	30.66	303.88	87.09	3.55	0.57	11.94	56.76	199	254.51	44.24	40.85	1.35
Recording 126	P17-M1	C	1	scenevideo	3579	271409	581	97	6	100	4.06989	0													
Recording 29	P07-J1	A	1	scenevideo	30000	142444	11220	170	66	301	3.77301	30	154.37	30.21	288.5	61.09	3.71	0.53	10.45	111.33	2859	204.62	30.21	30.21	1
Recording 29	P07-J1	B	1	scenevideo	13233	172444	5730	220	26	60	4.0438	10	69.83	33.26	235.33	66.64	2.24	0.52	8.87	22.43	590	117.12	142.84	138.9	2.97
Recording 29	P07-J1	C	1	scenevideo	5860	185677	511	102	5	70	3.84857	3	149.48	34.95	375.49	195.74	5.11	0.99	13.05	15.34	40	284.95	34.95	34.95	1.29
Recording 229	P37-M1	A	1	scenevideo	30000	226240	19355	239	81	361	4.5279	43	79.2	31.03	401.66	75.96	2.18	0.52	15.13	93.59	722	263.7	39.02	38.83	0.85
Recording 229	P37-M1	B	1	scenevideo	10393	256240	7333	282	26	381	4.68883	18	57.89	30.65	121.7	23.73	1.68	0.88	2.8	30.17	15	98.92	47.17	47.06	1.45
Recording 229	P37-M1	C	1	scenevideo	1847	266633	681	227	3	200	4.79622	2	57.88	33.49	82.26	34.48	3.09	2.69	3.49	6.18	842	101.77	82.26	63.87	2.69
Recording 286	P40-P0	A	1	scenevideo	30000	86232	27480	458	60	721	3.45881	60	92.81	30.05	343.44	73.19	2.3	0.55	8.84	138.18	171	204	164.94	99.63	3.77
Recording 306	P41-B0	A	1	scenevideo	30000	261094	23733	396	60	220	3.79129	44	96.31	30.06	276.22	68.16	2.75	0.56	7.84	120.85	1575	347.66	50.95	41.15	2.16
Recording 64	P06-D1	A	1	scenevideo	30000	203574	19064	794	24	160	3.02653	15	115.96	37.64	499.37	137.95	3.74	0.42	32.89	56.06	7020	289.82	44.09	43.35	1.68
Recording 64	P06-D1	B	1	scenevideo	14133	233574	12022	546	22	761	3.50225	17	170.09	32.76	488.66	164.59	6.89	1.04	28.97	117.19	182	13.71	32.76	32.76	2.01
Recording 64	P06-D1	C	1	scenevideo	16334	247707	10980	234	47	90	3.83684	34	228.31	58.66	575.06	158.05	10.33	1.59	38.06	351.28	746	115.42	132.58	96.05	4.61
Recording 314	P41-M1	A	1	scenevideo	30000	222014	20758	358	58	1062	4.68122	41	112.34	30.53	466.64	115.76	3.77	0.46	22.76	154.48	1310	37.05	110.29	66.24	1.97
Recording 314	P41-M1	B	1	scenevideo	12567	252014	7754	258	30	60	4.70351	18	134.75	34.81	427.04	106.58	4.32	0.58	17.66	77.85	873	19.01	228.02	161.74	5.28
Recording 314	P41-M1	C	1	scenevideo	5285	264581	2995	166	18	130	4.45449	9	232.3	33.17	852.5	247.28	7.23	1.88	23.24	65.04	168	84.67	322.51	177.14	10.52
Recording 241	P38-J1	A	1	scenevideo	30000	149060	20908	222	94	240	3.91221	67	176.11	30.13	555.08	132.44	5.03	0.7	16.26	336.97	361	241.28	32.92	32.92	1.64
Recording 241	P38-J1	B	1	scenevideo	7652	179060	4809	240	20	130	3.39658	15	300.84	30.5	818.55	259.66	12.35	1.53	36.55	185.27	536	6.97	313.67	213.73	5.24
Recording 241	P38-J1	C	1	scenevideo	3052	186712	1152	192	6	200	3.2812	3	111.67	31.94	268.44	135.77	3.44	2.01	5.44	10.31	949	181.83	268.44	197.46	5.44
Recording 310	P41-M0	A	1	scenevideo	30000	82226	24304	386	63	1413	4.37297	47	96.79	30.51	322.79	86.28	3.15	0.52	16.45	147.89	258	35.93	66.27	47.13	1.44
Recording 97	P13-J1	A	1	scenevideo	30000	148028	24454	284	86	210	5.95298	62	156.01	31.71	419.98	89.63	4.05	0.52	13.76	251.15	11	160.69	107.93	81.88	2.11
Recording 97	P13-J1	B	1	scenevideo	14011	178028	9537	397	24	70	5.29756	19	124.01	30.09	399.82	104.73	3.82	0.94	11	72.49	156	282.33	324.36	175.65	11
Recording 97	P13-J1	C	1	scenevideo	4698	192039	1783	198	9	100	4.87379	6	228.58	30.08	457.13	216.26	8.32	1.84	18.58	49.95	2404	344.61	35.1	35.1	1.84
Recording 162	P18-M0	A	1	scenevideo	30000	84472	22160	369	60	190	4.84127	53	134.08	30.01	417.05	109.25	4.23	0.78	14.5	224.26	3729	13.72	52.09	47.74	3.3
Recording 143	P12-P0	A	1	scenevideo	30000	81002	26207	308	85	240	4.50326	75	109.12	30.77	328.24	81.92	3.19	0.88	12.42	239.03	76	82.64	309.42	155.78	12.24
Recording 25	P07-J0	A	1	scenevideo	30000	80185	13134	162	81	70	4.57186	28	84.96	31.01	227.48	56.04	2.07	0.52	9.91	57.98	2353	283.07	37.37	33.41	2.11
Recording 240	P38-P1	A	1	scenevideo	30000	174098	22671	246	92	80	3.39649	67	116.5	32.21	382.65	80.06	3.1	0.64	8.97	207.42	1664	123.22	97.36	71.03	3.12
Recording 240	P38-P1	B	1	scenevideo	7674	204098	4949	354	14	531	3.38115	13	214.39	33.83	520.37	205.39	9.91	0.69	25.91	128.77	416	40.02	200.79	124.83	5.24
Recording 240	P38-P1	C	1	scenevideo	1991	211772	1172	293	4	791	3.3977	3	102.75	44.8	196.98	82.33	2.4	0.86	5.02	7.19	125	243.15	44.8	39.7	0.86
Recording 400	P33-P0	A	1	scenevideo	30000	91576	6612	105	63	120	4.73538	20	95.45	34.84	284.29	73.21	1.83	0.28	5.94	36.61	4082	284.51	148.55	111.69	5.94
Recording 117	P15-W1	A	1	scenevideo	30000	192960	23823	309	77	521	4.61507	52	93.77	32.63	292.66	62.48	2.94	0.57	15.53	152.67	610	279.37	123.59	88.38	2.69
Recording 117	P15-W1	B	1	scenevideo	13366	222960	7894	208	38	431	5.42961	20	103.99	31.56	568.02	138.65	4.18	0.52	29.93	83.69	1516	242.56	57.99	50.31	1.05
Recording 117	P15-W1	C	1	scenevideo	2071	236326	631	105	6	70	5.5766	4	80.93	31.21	208.18	85.39	2.33	0.58	6.12	9.31	733	266.59	31.21	31.21	0.58
Recording 141	P12-W0	A	1	scenevideo	30000	85761	26628	783	34	1413	4.7093	22	91.09	32.7	262.07	69.2	2.69	0.6	6.26	59.18	1443	268.48	114.01	76.87	1.78
Recording 146	P12-M1	A	1	scenevideo	30000	224092	25165	614	41	441	4.55143	32	173.77	30.42	515.83	158.58	5	0.66	13.1	159.97	1765	91.61	30.42	30.42	0.66
Recording 146	P12-M1	B	1	scenevideo	13683	254092	10128	675	15	1322	4.73973	12	178.75	54.84	588.32	142.23	6.76	1.57	32.65	81.16	1348	274.19	54.84	44.55	2.72
Recording 146	P12-M1	C	1	scenevideo	5738	267775	2825	353	8	351	4.37626	6	140.48	33.93	292.31	105.87	5.28	1.66	12.22	31.66	849	100.93	141.22	87.6	4.96
Recording 405	P33-P1	A	1	scenevideo	30000	183870	12232	133	92	130	6.62412	30	103.89	30.12	306.04	72.33	2.26	0.53	6.69	67.69	190	99.8	149.34	105.78	3.11
Recording 405	P33-P1	B	1	scenevideo	14350	213870	2635	98	27	90	6.13983	5	111.13	44.32	213.31	65.18	1.78	1	2.7	8.92	1016	292.67	44.32	39.73	1
Recording 405	P33-P1	C	1	scenevideo	3058	228220	451	75	6	60	5.72529	0													
Recording 234	P38-M0	A	1	scenevideo	30000	84688	20808	260	80	130	4.99393	43	107.14	30.03	405.77	103.15	2.73	0.52	10.75	117.45	1482	166.22	46.64	42.14	1.39
Recording 338	P29-M0	A	1	scenevideo	30000	85656	21459	370	58	200	4.16337	30	138.95	34.92	426.24	138.29	3.67	0.69	14.22	110.16	658	191.27	419.41	227.35	14.22
Recording 357	P46-B0	A	1	scenevideo	30000	256505	23753	699	34	751	3.83775	6	113.49	51.2	218.44	63.37	3.4	1.68	6.55	20.39	4386	7.25	61.41	45.86	1.68
Recording 99	P14-M0	A	1	scenevideo	30000	40402	27770	926	30	250	5.12376	25	130.16	36.07	373.44	101.11	3.97	0.9	12.07	99.29	520	207.86	124.75	77.63	4.04
Recording029	P39-P1	A	1	fullstream	30000	172152	23726	365	65	540	4.17424	47	91.18	32.65	323.43	69.44	3.87	0.51	17.68	181.95	314	161.62	52.25	43.57	1.93
Recording029	P39-P1	B	1	fullstream	12133	202152	9174	328	28	540	3.84129	16	60.43	34.32	81.56	12.95	1.64	0.61	3.45	26.32	596	172.03	54.72	54.72	1.99
Recording029	P39-P1	C	1	fullstream	5264	214285	3038	203	15	240	3.80753	11	70.06	36.57	153.43	37.52	2.93	0.79	10.18	32.25	655	90.75	62.97	62.97	2.78
Recording 42	P04-J1	A	1	scenevideo	30000	139699	21128	306	69	250	4.95456	57	131.27	31.9	411.93	94.98	3.79	0.58	15.24	216.04	485	347.87	172.93	112.51	4.83
Recording 42	P04-J1	B	1	scenevideo	12733	169699	9828	893	11	271	3.92559	6	123.74	80.35	240.66	59.85	3.83	0.87	7.76	23	449	328.87	90.32	65.87	2.17
Recording 42	P04-J1	C	1	scenevideo	3154	182432	1403	351	4	190	3.73339	2	154.49	153.67	155.31	1.16	4.06	2.72	5.4	8.13	1341	179.71	153.67	98.31	5.4
Recording023	P39-M0	A	1	fullstream	30000	87648	16510	590	28	180	4.56993	17	118.91	32.82	341	78.03	4.6	1.12	14.4	78.23	650	183.39	44.85	44.85	2.08
Recording 244	P16-J0	A	1	scenevideo	30000	83279	18544	177	105	100	5.59851	51	110.04	30.75	320.94	86.79	3.22	0.67	14.71	163.97	524	58.61	97	75.7	2.92
Recording 19 (2)	P05-J1	A	1	scenevideo	30000	151750	20677	232	89	100	3.18202	68	188.78	30.14	467.33	116.43	6.14	0.54	16.84	417.64	161	89.05	230.26	109.96	7.99
Recording 19 (2)	P05-J1	B	1	scenevideo	12517	181750	10128	375	27	1222	2.99577	17	121.67	30.96	400.89	90.72	2.93	0.74	6.18	49.74	1598	89.61	79.37	62.36	3.59
Recording 185	P25-M0	A	1	scenevideo	30000	93356	12973	141	92	150	3.36325	34	77.46	30.31	268.27	61.88	1.8	0.51	8.6	61.22	331	352.46	158.02	109.72	5.47
Recording 215	P23-P0	A	1	scenevideo	30000	90664	25156	307	82	250	5.48158	71	94.3	31.19	521.5	93.76	3.14	0.72	19.07	223.28	207	232.5	47.77	38.39	0.72
Recording 296	P31-B0	A	1	scenevideo	30000	91227	21619	366	59	681	3.36792	31	128.24	30.7	325.76	92.94	4.4	0.65	13.39	136.29	698	117.89	44.47	40	0.65
Recording 362	P46-P1	A	1	scenevideo	30000	173524	21880	199	110	150	3.43686	76	84.56	31.36	329.84	62.53	2.42	0.53	9.36	184.27	4	17.29	159.16	106.01	4.32
Recording 362	P46-P1	B	1	scenevideo	13217	203524	9267	386	24	180	4.29283	10	91.74	32.73	528.35	153.83	4.13	0.63	23.56	41.27	229	167.38	32.73	32.73	3.56
Recording 362	P46-P1	C	1	scenevideo	9152	216741	5550	278	20	601	4.19125	7	115.91	36.25	206.88	67.24	3.68	1.22	8.35	25.73	907	182.68	124.49	82.24	3.14
Recording 76	P11-B0	A	1	scenevideo	30000	257158	23873	663	36	80	3.48081	22	53.38	30.05	243.29	43.57	1.55	0.51	10.16	34.08	1584	102.07	41.64	40.71	0.63
Recording 53	P10-M1	A	1	scenevideo	30000	220565	15578	264	59	271	4.31142	35	134.06	30.82	416.84	103.1	3.45	0.6	10.56	120.85	1630	190.44	42.97	40.76	0.6
