Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 322	P32-J1	A	1	scenevideo	30000	148038	23342	285	82	190	4.01713	63	131.76	30.48	415.42	91.28	4.08	0.72	12.98	257.08	522	183.43	208.68	124.2	4.1
Recording 322	P32-J1	B	1	scenevideo	12119	178038	8475	424	20	461	4.34893	10	99.98	37.11	170.42	45.98	3.47	0.81	6.87	34.65	85	181.25	65.92	62.16	0.81
Recording 212	P23-B0	A	1	scenevideo	30000	270116	23984	685	35	401	3.83539	24	44.16	30.38	129.69	20.74	1.33	0.51	2.77	31.91	3102	352.77	38.77	35.46	0.54
Recording 38	P04-W0	A	1	scenevideo	30000	72845	24304	398	61	491	5.07131	53	108.66	30.83	420.38	91.44	3.22	0.61	16.3	170.79	1551	219.66	71.79	67.56	1.7
Recording 397	P33-B0	A	1	scenevideo	30000	258287	20076	283	71	100	4.30843	38	78.97	30.47	260.72	60.01	2.75	0.43	16	104.64	1265	157.29	152.84	91.06	4.27
Recording 114	P15-D2	A	1	scenevideo	30000	209436	21709	452	48	1062	4.17539	28	84.95	31.57	255.34	59.03	2.26	0.55	7.35	63.28	1274	32.08	79.18	57.38	2.29
Recording 114	P15-D2	B	1	scenevideo	16817	239436	13184	425	31	421	5.52903	25	119.62	35.32	419.54	106.09	4.29	0.7	28.01	107.32	1368	163.09	37.63	37.63	0.78
Recording 114	P15-D2	C	1	scenevideo	17571	256253	10549	229	46	731	5.03823	26	148.01	31.97	465.58	114.76	4.86	0.68	26.34	126.41	150	33.71	92.97	66.64	2.18
Recording 142	P12-M0	A	1	scenevideo	30000	80361	25747	436	59	2414	4.4141	51	137.33	31.18	455.48	114.27	4.72	0.65	21.09	240.71	298	22.69	60.06	47.96	1.39
Recording 87	P11-D1	A	1	scenevideo	30000	227025	22120	340	65	180	3.16789	42	66.15	30.59	398.77	76.09	2	0.51	11.35	83.99	1068	35.79	47.78	41.27	1.14
