id,seq,task,cognitive,interrupt,mental,physical,temp,perf,effort,frus,overall
32,2,W,8,4,6,7,6,0,12,2,4
33,1,W,17,15,16,3,10,15,12,7,12.2
34,5,W,20,5,15,5,12,5,15,5,7.733333333
35,4,W,8,4,2,0,5,5,7,3,4.533333333
37,2,W,12,3,11,1,12,9,11,8,10.53333333
38,1,W,8,1,6,2,2,6,3,0,4.6
39,5,W,14,10,14,0,12,10,12,6,11.46666667
40,4,W,15,3,8,5,9,5,6,2,6.666666667
41,3,W,16,15,12,0,11,6,13,3,10.06666667
42,2,W,14,8,14,0,12,13,15,4,12.53333333
43,1,W,12,7,7,2,5,4,12,1,7.333333333
44,5,W,20,7,17,8,5,1,20,2,8.266666667
45,4,W,12,6,7,0,8,7,4,4,6.666666667
46,3,W,12,4,16,0,16,6,10,5,11.66666667
47,2,W,12,6,8,0,2,10,11,2,7.933333333
48,1,W,20,18,20,10,10,8,17,17,16.6
50,4,W,18,3,11,0,20,8,11,14,13.8
