id,task,Frame,stream_1,AD_State
21,M,332293,7,1
21,M,332551,7,0
21,M,332553,7,1
21,M,332591,7,0
21,M,332845,8,0
21,M,333045,8,1
21,M,334876,8,1
21,P,232376,0,1
21,P,244485,7,1
21,P,244840,7,0
21,P,244842,7,1
21,P,244897,7,0
21,P,245034,8,0
21,P,245544,8,1
21,P,245671,8,0
21,P,245802,8,1
21,P,245865,8,0
21,P,245996,8,1
21,P,247522,8,1
21,W,288746,0,1
21,W,301755,7,1
21,W,302133,7,0
21,W,302135,7,1
21,W,302169,7,0
21,W,302302,8,0
21,W,302622,8,1
21,W,303514,8,1
22,D,40422,0,1
22,D,54390,7,1
22,D,54586,7,0
22,D,54588,7,1
22,D,54620,7,0
22,D,54939,8,0
22,D,55526,8,1
22,D,55981,8,1
22,J,277877,0,1
22,J,287932,7,1
22,J,288262,7,0
22,J,288264,7,1
22,J,288268,7,0
22,J,288482,8,0
22,J,288787,8,1
22,J,288849,8,0
22,J,288980,8,1
22,J,290510,8,1
22,M,8920,0,0
22,M,23591,7,1
22,M,23888,7,0
22,M,23890,7,1
22,M,23894,7,0
22,M,24144,8,0
22,M,24412,8,1
22,M,25637,8,1
22,P,62375,0,1
22,P,74170,7,1
22,P,74439,7,0
22,P,74441,7,1
22,P,74447,7,0
22,P,74721,8,0
22,P,74900,8,1
22,P,75957,8,1
22,W,306680,0,1
22,W,319626,7,1
22,W,319973,7,0
22,W,319975,7,1
22,W,319977,7,0
22,W,320172,8,0
22,W,320364,8,1
22,W,320426,8,0
22,W,320493,8,1
22,W,323013,8,1
23,D,231878,0,1
23,D,245718,7,1
23,D,245934,7,0
23,D,245936,7,1
23,D,245948,7,0
23,D,246279,8,0
23,D,246466,8,1
23,D,247673,8,1
23,J,31714,0,1
23,J,42209,7,1
23,J,42604,7,0
23,J,42606,7,1
23,J,42620,7,0
23,J,42753,8,0
23,J,42816,8,1
23,J,43745,8,1
23,M,198451,0,1
23,M,213319,7,1
23,M,213827,7,0
23,M,213863,8,0
23,M,214135,8,1
23,M,215397,8,1
23,P,5460,0,0
23,P,17121,7,1
23,P,17465,7,0
23,P,17468,7,1
23,P,17528,7,0
23,P,17669,8,0
23,P,17723,8,1
23,P,19007,8,1
23,W,166688,0,1
23,W,179823,7,1
23,W,180266,7,0
23,W,180268,7,1
23,W,180305,7,0
23,W,180369,8,0
23,W,180565,8,1
23,W,182903,8,1
24,D,247663,0,1
24,D,261628,7,1
24,D,261796,7,0
24,D,262195,8,0
24,D,262636,8,1
24,D,263160,8,1
24,J,297065,0,1
24,J,307119,7,1
24,J,307391,7,0
24,J,307673,8,0
24,J,307845,8,1
24,J,308675,8,1
24,M,192284,0,0
24,M,207151,7,1
24,M,207450,7,0
24,M,207703,8,0
24,M,207903,8,1
24,M,208647,8,1
24,P,270288,0,1
24,P,282401,7,1
