task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
D,81.04,92.8505,740.375,24.1707,4.444444,6.0682,1248.76,0.084657913,-0.051819572,-0.003454096,73,22.951445,6.456637744,0.016878858,9548.734193,144.6777908,338831.5,67,21.098051,48.47112118,0.05859375,858.8223917,6.066666667,62.64755823
J,86.5971,90.8816,692.8636,18.7843,3.666667,0.5287,143.5666,1,9.6084003,0.64045951,79,23.432424,7.680498458,0.020109954,0,0,0,0,0,0,0,0,7.133333333,97.78211516
M,89.7278,96.2155,668.6889,28.7811,9,3.5836,1644.9703,1,8.248232064,0.549795855,49,26.458086,6.73605662,0.01171875,0,0,0,0,0,0,0,0,8.366666667,94.52571661
P,87.1151,96.5251,688.7442,23.709,5.375,1.1401,1300.0366,0.988062756,7.508892667,0.500514296,70,24.795133,7.416863862,0.016155478,0,0,0,1,0.110149,80,0.002929688,14.51209399,5.8,19.11529775
W,80.5991,82.8043,744.425,23.0753,5,2.367,311.5117,1,6.778040553,0.451798467,49,23.723043,6.461837211,0.014660494,0,0,0,0,0,0,0,0,3.683333333,4.765266133
D,61.7981,68.4151,970.9032,49.8933,6.2,4.8719,3603.6307,0.026130653,1.068474449,0.06365246,42,25.145756,6.091575674,0.013792438,4687.501312,117.1875328,49267.5,41,25.065611,45.92363261,0.050889757,1062.932652,7.716666667,57.00109619
J,63.412,71.0395,946.1935,54.4655,7.75,1.0406,1743.3243,0.988474576,10.00288319,0.595903932,87,23.111344,7.663278063,0.02189429,40,40,0,2,0.110109,85.29411765,0.003146701,33.06086145,9.416666667,51.01849524
M,63.4166,68.697,946.125,60.1845,8,2.9246,2309.2454,0.971819646,6.31734507,0.376344569,63,16.599604,7.645603177,0.021942515,0,0,0,0,0,88.57142857,0.005967882,54.49939111,6.466666667,62.7420812
P,64.2269,68.1354,934.1875,57.9066,10.666667,0.7485,2608.2821,1,6.812570637,0.405846749,81,22.811261,7.687441543,0.021363812,0,0,0,0,0,0,0,0,8.083333333,39.56472577
W,64.4209,74.0924,931.375,68.7497,8,1.9164,8688.4861,1,7.066975136,0.421002444,51,23.842677,7.287160406,0.020592207,0,0,0,0,0,0,0,0,6.166666667,16.85247623
D,56.6993,58.1058,1058.2143,30.5538,5.6,1.573,536.2209,0.995780591,-1.467298869,-0.08948268,69,23.011174,6.887180382,0.013840664,0,0,0,0,0,25,0.000325521,16.17391789,3.733333333,13.60929904
J,64.968,73.8007,923.5312,28.8201,8,7.8529,1464.7029,1,5.063408159,0.308790076,85,22.210271,8.006128244,0.023003472,0,0,0,0,0,0,0,0,5.816666667,129.6079372
M,54.9208,58.651,1092.4815,34.3695,5.4,7.7612,841.4895,1,0.765556452,0.046687177,50,7.833899,8.773183368,0.03197338,0,0,0,0,0,0,0,0,5.966666667,102.99442
