id,task,Frame,min_headway,veh_speed,min_TTC
19,D,48849,397.7559999999994,62.80418,4.318140492038465
19,J,18510,77.20199999999932,63.56574,0.828083292552353
19,M,241565,63.152000000000044,63.57507,0.6772809187340549
19,P,66764,311.29199999999946,61.68892,3.440561861912076
19,W,45321,156.33399999999983,63.49468,1.6787447961996742
20,D,149596,402.23199999999997,63.50391,4.318617403386514
20,J,20607,16.089999999999236,63.53441,0.17266949587560543
20,M,85258,397.28600000000006,61.81845,4.381811873022023
20,P,168569,279.96000000000004,63.31363,3.0148613842203997
20,W,57034,283.4549999999999,63.24818,3.055657454922382
21,D,360190,421.1239999999998,63.32994,4.533874499170532
21,J,274395,204.3040000000001,63.21329,2.20362176716608
21,M,332677,343.78799999999956,62.9599,3.7230190818427094
21,P,244963,195.66299999999956,62.90583,2.120734928846668
21,W,302246,173.52199999999993,63.19469,1.8721581598937271
22,D,54706,452.35499999999956,63.2251,4.878187043379344
22,J,288346,295.1369999999997,63.806,3.1537750795735913
22,M,23994,313.384,63.37453,3.3715580863622834
22,P,74552,346.28299999999945,63.24727,3.732999787256353
22,W,320067,251.3119999999999,63.56725,2.695556137934091
23,D,246039,442.5709999999999,63.31673,4.7657697190845845
23,J,42700,173.28999999999996,63.55762,1.8589788718846414
23,M,213890,45.67199999999957,64.1646,0.4853143322018638
23,P,17601,192.78099999999995,62.62255,2.098949833711513
23,W,180374,79.78099999999995,63.15325,0.8613355031393687
24,D,261933,469.45899999999983,62.46699,5.124077241726898
24,J,307497,353.3779999999997,63.24673,3.809517827317638
24,M,207582,270.46499999999924,62.58678,2.9464362049853663
24,P,282784,344.951,63.21088,3.720781353405674
24,W,333906,361.84599999999955,62.05082,3.975985842220643
25,D,182109,313.08699999999953,62.53651,3.413500514993702
25,J,238389,248.3689999999997,63.46918,2.6681060004241397
25,M,292924,163.1929999999993,63.33634,1.7567790394180351
25,P,204433,101.93399999999929,63.24857,1.0988462592190473
25,W,264754,255.85199999999986,62.42952,2.7942637626325713
26,D,96251,542.3249999999998,62.63703,5.903329794764301
26,J,12114,106.20399999999972,63.13042,1.1470194271132363
26,M,72322,247.23999999999978,62.45395,2.6991523718311994
26,P,104709,105.86299999999937,64.17484,1.1247292269340718
26,W,39306,258.58699999999953,62.85663,2.804943856866298
27,D,68739,419.8139999999994,63.24918,4.525541962469992
27,J,390796,40.060999999999694,63.49566,0.4301761440359542
27,M,44590,318.35599999999977,63.47331,3.4197193921493767
27,P,87436,370.03999999999996,63.56171,3.9693708680902384
27,W,15332,277.6359999999995,64.01109,2.9572574490962804
28,D,238793,311.0719999999992,61.54344,3.446257561399638
28,J,283588,268.52799999999934,63.35388,2.8899141256584806
28,M,213259,70.3219999999992,63.16112,0.7591191888588684
28,P,258463,295.2619999999997,62.69328,3.211109707451896
28,W,183435,260.067,62.80941,2.8231185277955824
29,D,673571,218.49099999999999,61.1496,2.4361751567244325
29,J,712478,156.47800000000007,63.33137,1.6846239936787333
29,M,645084,123.67900000000009,63.44398,1.3291503923475634
29,P,690870,209.26699999999983,62.59655,2.2793915232476123
29,W,738045,137.21999999999935,63.35435,1.4767587530941517
31,D,281261,213.87099999999919,62.46133,2.334582634785968
31,J,197053,111.6259999999993,56.59368,1.344825718413008
31,M,255207,95.37299999999959,57.36025,1.1336604260711063
31,P,166070,0,63.18647,0
31,W,225141,113.77199999999993,58.85459,1.3180249523753056
32,D,63727,502.3939999999993,62.97159,5.439617510632385
32,J,223117,297.16599999999926,63.96728,3.167450324887682
32,M,32020,321.92199999999957,62.69169,3.5011382326313494
32,P,85515,437.549,63.00358,4.735109713390313
32,W,257507,437.96099999999933,62.64121,4.766986026088453
33,D,625271,419.54199999999946,62.98507,4.541574116474957
33,J,41346,185.9459999999999,63.21506,2.005556328450271
33,M,599182,165.71999999999935,63.49487,1.7795281585883813
33,P,15951,99.96000000000004,63.57155,1.0720919256262509
33,W,567780,0,62.12524,0
34,D,58011,504.3729999999996,63.07986,5.45167160831019
34,J,100240,30.047999999999774,63.55075,0.32237656876232895
34,M,22329,170.83899999999994,63.09923,1.8459993309527918
34,P,76599,110.59899999999925,63.21984,1.1927965823847164
34,W,127682,255.41799999999967,63.20997,2.7550817752901344
35,D,622035,319.866,63.25358,3.447875275129954
35,J,673534,268.6449999999995,63.53112,2.88310745119156
35,M,728554,137.90899999999965,63.67408,1.476721197013972
35,P,640773,11.641999999999825,64.16557,0.12370695487824941
35,W,701509,246.72499999999945,63.4183,2.6525717483611286
37,D,194381,367.84299999999985,62.40954,4.018649159319959
37,J,108181,36.888999999999214,63.74409,0.39457133844236186
37,M,168601,304.3139999999994,62.19153,3.3362552453978505
37,P,212183,310.6109999999999,62.60293,3.382912385614015
37,W,140521,177.79799999999977,62.8561,1.9286260059231952
38,D,322434,369.1729999999998,61.39476,4.099842781963209
38,J,365745,434.46099999999933,61.59727,4.809034703825488
38,M,295749,340.8909999999996,62.05836,3.7452759276619876
38,P,340284,465.78600000000006,62.65545,5.0686949600771145
38,W,263716,311.28799999999956,61.9324,3.42699165835359
39,D,277454,383.4939999999997,61.55553,4.247761034925402
39,J,322799,271.47599999999966,63.07615,2.9345049234500284
39,M,242233,233.3789999999999,63.03111,2.5245001310391872
39,P,295495,229.46099999999933,62.75977,2.492849827495884
39,W,349782,250.73599999999988,63.41862,2.695680915736791
40,D,19487,256.77599999999984,62.17505,2.8158328051934878
40,J,78956,0,63.17705,0
40,M,132098,232.38899999999921,63.34333,2.501400628204184
40,P,52758,144.39699999999993,62.857170000000004,1.5662890963751621
40,W,108036,246.63899999999921,62.6521,2.684075307060003
41,D,77635,273.1219999999994,61.55209,3.02539760152003
41,J,228353,163.09999999999945,63.47514,1.7519385613729261
41,M,51591,239.32399999999961,62.52876,2.6096064362295732
41,P,199943,0,64.30035,0
41,W,21781,0,63.27408,0
42,D,328783,302.8319999999994,63.04742,3.2749375571016746
42,J,250334,169.28899999999976,63.54576,1.8163968482211563
42,M,302978,37.99699999999939,63.7377,0.4064634502742496
42,P,347590,229.30099999999948,62.97195,2.4827179547257243
42,W,276129,53.831999999999425,63.65624,0.5765913343866363
43,D,267209,233.26599999999962,59.36507,2.6791006900185534
43,J,308401,99.42799999999988,61.95994,1.0941233671597828
43,M,238388,130.8829999999998,63.12239,1.4137362208704227
43,P,284781,226.7579999999998,61.52537,2.5129101584066404
43,W,204464,162.1269999999995,62.3068,1.7741424108385604
44,D,238970,182.8199999999997,20.56014,6.062701907671825
44,J,290117,201.10999999999967,52.12152,2.6307838786254574
44,M,208363,0,62.11183,0
44,P,256880,161.59400000000005,52.31102,2.1062049119425947
44,W,315989,157.04199999999946,47.90704,2.2350387523230517
45,D,218100,399.942,62.12325,4.389463321264217
45,J,265627,176.5109999999995,62.3674,1.9296685302082301
45,M,322680,164.36399999999958,62.74641,1.7860203258857894
45,P,236220,238.59799999999996,62.89338,2.586606961582515
45,W,295662,153.07799999999952,62.66183,1.665629038225716
46,D,268196,236.1790000000001,60.14668,2.677307149183237
46,J,182031,229.79699999999957,62.89257,2.491228657491218
46,M,240582,222.98099999999977,58.55902,2.5962268494247316
46,P,152391,195.8219999999992,63.44751,2.1043379007308474
46,W,211254,142.90799999999945,63.19725,1.541796086495415
47,D,28116,359.6859999999997,61.14025,4.011113048203995
47,J,134022,20.91899999999987,63.52057,0.22454072035963243
47,M,198286,219.02499999999964,63.42662,2.3544566504210227
47,P,48063,329.58999999999924,63.21467,3.554878235470565
47,W,168160,256.90399999999954,62.04782,2.823013253033191
48,D,267856,420.9229999999998,62.00856,4.6282796205145615
48,J,309470,144.32699999999932,62.93259,1.563653628863396
48,M,243709,191.47800000000007,61.25174,2.131419969754033
48,P,286632,304.04699999999957,62.24057,3.330701706736819
48,W,211826,253.0689999999995,61.97884,2.7839670031666475
50,D,214126,456.0819999999994,62.15825,5.002795284616276
50,J,269479,261.4929999999995,63.39812,2.812239255961872
50,M,327887,202.09099999999944,63.08306,2.184252288678098
50,P,242713,339.23399999999947,63.15117,3.6625751999671383
50,W,298478,230.39399999999932,63.27779,2.48249533022278
