id,task,y_first_fix,y_first_gaze,RT_adoff,RT_steer,mean_hand,mean_eye,big_maneuver
5,M,3.035517,2.885219,4.283333333,6.633333333,27.62001553,17.35937173,1
6,M,1.753123,1.723118,5.816666667,6.183333333,30.49423854,15.19317691,0
7,M,3.596458,3.2058,7.366666667,6.483333333,68.09035627,33.1348767,1
8,M,4.277689,3.947123,5.7,5.516666667,69.1597245,25.46174957,0
9,M,0,0,8.366666667,8.083333333,94.52571661,38.88758081,1
10,M,5.12928,4.8087,6.466666667,6.8,62.7420812,16.03631755,0
11,M,6.431577,5.499925,5.966666667,5.55,102.99442,108.1658673,0
12,M,5.279578,4.708538,6.116666667,5.483333333,7.732256267,32.48841171,1
13,M,2.965367,2.855142,7.2,7.3,29.27762424,8.621073639,1
14,M,1.462628,1.412563,6.083333333,5.7,16.77751572,6.426874414,0
15,M,2.274065,2.053725,4.833333333,5.116666667,25.69575666,22.12336224,0
16,M,2.514575,2.18397,3.933333333,4.116666667,48.84661637,42.07281365,0
17,M,1.001814,0.71132,4.983333333,4.133333333,28.16654403,43.5985365,0
18,M,0.040072,0.090138,7.1,6.016666667,21.14653303,17.47674989,1
19,M,0,0,8.2,8,82.89560559,41.86963029,1
20,M,0,0,3.966666667,3.9,69.86846323,39.03534047,0
21,M,1.192182,0.09013,4.966666667,4.083333333,21.40228252,6.523435454,0
22,M,2.594687,2.193962,5.05,4.583333333,59.77067359,67.0820315,0
23,M,6.561905,3.36609,8.466666667,7.283333333,30.98573834,17.62552054,1
24,M,4.548172,1.302299,4.983333333,5.533333333,40.23462479,10.10505757,0
25,M,6.521826,3.516387,7.133333333,6.566666667,40.14515058,32.90912252,0
26,M,4.127467,3.846959,6.05,4.933333333,78.62266676,53.39919078,0
27,M,2.213973,2.033704,5.033333333,3.383333333,71.58663004,41.60471384,0
28,M,1.718964,1.858876,8.233333333,7.5,69.57186915,15.22618798,1
29,M,0.821505,0.621142,7.133333333,7.333333333,41.92579297,23.55570477,1
31,M,3.185822,3.055581,7.133333333,6.483333333,65.13251727,39.60700995,1
32,M,3.055578,2.98546,5.05,4.7,64.90875971,38.32540508,0
33,M,6.471691,1.332418,7.083333333,6.55,46.08438975,41.04182044,0
34,M,0.499708,0.559684,7.166666667,5.266666667,32.060033,17.2052953,0
