"id","task","mean_hand","mean_eye"
"40","M",29.6284916879521,45.3186981044812
"40","P",15.4045587235876,22.9170095499957
"40","W",6.98487251145563,62.0099384458551
"41","D",35.9762653024436,38.973175937232
"41","J",70.564222915074,61.4610150123372
"41","M",35.4235025348536,34.6760366827333
"41","P",111.989491803902,47.355201936849
"41","W",8.5377467337605,77.3000242842201
"42","D",81.969325235757,7.3226559269748
"42","J",28.8106648488671,10.5050285962842
"42","M",32.6614255306985,26.1540621965139
"42","P",27.6006320247416,22.9556229621872
"42","W",45.4331813880774,47.6710297203556
"43","D",88.2529117838977,11.7306833470121
"43","J",24.5552164694687,22.7106451775978
"43","M",34.3512754433961,7.13274434768729
"43","P",31.8787608345659,7.85996221157111
"43","W",45.5245858906327,45.6055183238204
"44","D",110.143672618783,21.114084918618
"44","J",39.9475929637029,31.2154312313769
"44","M",48.5882323955466,9.28289962977987
"44","P",228.470308292705,23.8825383224639
"44","W",86.4106294475029,18.180257345999
"45","D",100.270116292133,17.8110029764923
"45","J",31.297509020069,15.4387653918569
"45","M",26.8579059832429,31.031988523186
"45","P",30.5588166773757,27.0713082827603
"45","W",47.4126926390023,58.3829391212126
"46","D",110.187069224501,28.2002791377405
"46","J",34.7863578415996,29.1570700066944
"46","M",45.073037472322,26.9802714489238
"46","P",26.0176691958778,19.3414613795898
"46","W",80.0351357551304,61.8496615277759
"47","D",95.4611496544147,44.024706238921
"47","J",13.2040821329751,22.9513113531097
"47","M",38.415918626571,30.8623851951807
"47","P",42.4927001731979,34.2113925263899
"47","W",17.6332362295634,66.9684757267808
"48","D",73.2570534006423,13.2457583183956
"48","J",20.568795235679,11.9270852987814
"48","M",42.195772823563,6.70109021945518
"48","P",43.5002621184559,13.8866755363056
"48","W",54.4517945260575,38.1992776599424
"5","D",47.887861271984,21.783393318695
"5","J",10.1364297677342,9.07081798044175
"5","M",27.6200155265624,17.3593717301451
"5","P",26.7699118686367,20.7809129849101
"5","W",85.112181953201,23.39237600313
"50","D",56.9725146367531,25.576647747942
"50","J",68.9386206423847,32.1684243852192
"50","M",23.7556687553514,17.9820036664288
"50","P",66.5469278039927,31.9967650329445
"50","W",59.4236522595674,96.6076249841936
"6","D",120.848039482644,7.41376234755864
"6","J",46.3149313217058,9.24994192988753
"6","M",30.4942385407898,15.1931769146331
"6","P",29.3329437884406,13.9660449838402
"6","W",50.3781785976233,17.0017617244931
"7","D",114.603622523228,20.9358126135238
"7","J",54.1665429737619,15.3031807678977
"7","M",68.0903562721059,33.1348767007151
"7","P",32.2418801249516,17.0407699615001
"7","W",75.0946518252998,39.1476316137413
"8","D",14.2834043088875,35.3095769546161
"8","J",24.6374951286225,32.5409276337494
"8","M",69.159724503751,25.4617495666207
"8","P",29.7577991808233,34.460503818826
"8","W",22.7344548451127,47.158983014899
"9","D",62.6475582335421,25.1263205723709
"9","J",97.7821151600218,22.0567541321897
"9","M",94.5257166128727,38.8875808119782
"9","P",19.1152977534744,53.4310383656107
"9","W",4.76526613340442,10.5690204384358
