id,task,1,2,3,4,5,6,7,8,9,10
33,J,30872,40862,41263,41412,41717,42248,NA,NA,NA,NA
33,M,583947,598687,599112,599233,599501,600133,NA,NA,NA,NA
33,P,3752,15414,15886,15958,16275,17424,NA,NA,NA,NA
33,W,554007,567014,568995,NA,NA,NA,NA,NA,NA,NA
34,D,43826,57727,57895,58294,58606,59777,NA,NA,NA,NA
34,J,89668,99658,100503,NA,NA,NA,NA,NA,NA,NA
34,M,7164,21836,22266,22383,23688,26014,NA,NA,NA,NA
34,P,64337,76068,76536,76612,76860,78362,NA,NA,NA,NA
34,W,114107,127242,127592,127790,128046,129146,NA,NA,NA,NA
35,D,607795,621638,621930,622188,622254,622890,NA,NA,NA,NA
35,J,663052,673103,673440,673654,673765,674481,NA,NA,NA,NA
35,M,713303,728041,728468,728585,728857,729291,NA,NA,NA,NA
35,P,628388,640181,640713,640725,641169,643460,NA,NA,NA,NA
35,W,688122,701064,701414,701612,701868,702449,NA,NA,NA,NA
37,D,180043,194011,194241,194572,194630,195463,NA,NA,NA,NA
37,J,97618,107604,108114,108146,108465,109279,NA,NA,NA,NA
37,M,153515,168191,168490,168744,168814,169883,NA,NA,NA,NA
37,P,200111,211777,213211,NA,NA,NA,NA,NA,NA,NA
37,W,127087,140033,140436,140581,140708,142209,NA,NA,NA,NA
38,D,308224,322063,323190,NA,NA,NA,NA,NA,NA,NA
38,J,355362,365415,366426,NA,NA,NA,NA,NA,NA,NA
38,M,280622,295361,295595,295921,295984,296727,NA,NA,NA,NA
38,P,328184,339976,342008,NA,NA,NA,NA,NA,NA,NA
38,W,249852,263309,263599,263869,264246,265075,NA,NA,NA,NA
39,D,263126,277092,277326,277664,277844,278763,NA,NA,NA,NA
39,J,312189,322369,322708,322922,323097,324860,NA,NA,NA,NA
39,M,226976,241780,242143,242328,242596,244383,NA,NA,NA,NA
39,P,283308,295038,295377,295590,295766,298078,NA,NA,NA,NA
39,W,336147,349339,349700,349890,350218,351632,NA,NA,NA,NA
4,D,1134163,1148382,1148552,1148959,1149586,1149911,NA,NA,NA,NA
4,J,1185003,1195183,1195393,1195747,1195975,1197174,NA,NA,NA,NA
4,M,1098448,1113822,1114126,1114380,1115160,1116364,NA,NA,NA,NA
4,P,1155198,1167308,1167459,1167882,1168235,1170234,NA,NA,NA,NA
4,W,1208553,1221751,1221912,1222319,1222495,1223407,NA,NA,NA,NA
40,D,5212,19046,19345,19599,20056,20573,NA,NA,NA,NA
40,J,68287,78277,80674,NA,NA,NA,NA,NA,NA,NA
40,M,116840,131643,132006,132191,132330,133611,NA,NA,NA,NA
40,P,40388,52247,52651,52796,53040,54534,NA,NA,NA,NA
40,W,94643,107590,107939,108140,108328,108954,NA,NA,NA,NA
41,D,63365,77203,77499,77761,78017,78332,NA,NA,NA,NA
41,J,217801,227856,228257,228402,228582,229150,NA,NA,NA,NA
41,M,36401,51140,51505,51691,51894,53351,NA,NA,NA,NA
41,P,187455,199313,201469,NA,NA,NA,NA,NA,NA,NA
41,W,8303,21180,23622,NA,NA,NA,NA,NA,NA,NA
42,D,314471,328374,328669,328927,329187,330182,NA,NA,NA,NA
42,J,239786,249840,250241,250386,250630,251369,NA,NA,NA,NA
42,M,287598,302402,302894,302946,303283,305037,NA,NA,NA,NA
42,P,335340,347134,347473,347683,347862,348342,NA,NA,NA,NA
42,W,262488,275562,276042,276106,276302,277400,NA,NA,NA,NA
43,D,252851,266753,267049,267319,267374,267998,NA,NA,NA,NA
43,J,297746,307863,308329,308406,308912,309458,NA,NA,NA,NA
43,M,223002,237870,238298,238415,238558,239188,NA,NA,NA,NA
43,P,272464,284320,284662,284876,284922,285426,NA,NA,NA,NA
43,W,190830,203965,204382,204515,204707,205736,NA,NA,NA,NA
44,D,224577,238415,238711,239215,240197,240706,NA,NA,NA,NA
44,J,279583,289637,289974,290216,290492,291670,NA,NA,NA,NA
44,M,192934,207735,209824,NA,NA,NA,NA,NA,NA,NA
44,P,244579,256373,256712,256941,257423,258756,NA,NA,NA,NA
44,W,302468,315477,315810,316050,316411,317811,NA,NA,NA,NA
45,D,203847,217749,217980,218315,218821,219445,NA,NA,NA,NA
45,J,255083,265137,265538,265683,265798,269092,NA,NA,NA,NA
45,M,307441,322182,322610,322730,322999,324082,NA,NA,NA,NA
45,P,223912,235769,236109,236319,236434,237530,NA,NA,NA,NA
45,W,282147,295158,295572,295705,295832,296977,NA,NA,NA,NA
47,D,13967,27738,27940,28303,28619,30019,NA,NA,NA,NA
47,J,123513,133435,133968,133980,135907,136775,NA,NA,NA,NA
47,M,183083,197823,198188,198373,198577,199209,NA,NA,NA,NA
47,P,34727,47670,47956,48222,48410,50206,NA,NA,NA,NA
47,W,154710,167719,168006,168272,168459,169969,NA,NA,NA,NA
48,D,253679,267519,267721,268084,268267,269199,NA,NA,NA,NA
48,J,298972,308960,309362,309507,309815,310951,NA,NA,NA,NA
48,M,228421,243226,243524,243778,244043,244967,NA,NA,NA,NA
48,P,274493,286222,286496,286778,287014,288495,NA,NA,NA,NA
48,W,198248,211383,211670,211936,212769,215236,NA,NA,NA,NA
5,D,107241,121721,122082,122268,122601,123378,NA,NA,NA,NA
5,J,166030,176339,176613,176915,177131,178001,NA,NA,NA,NA
5,M,14823,29688,29992,30250,30575,32829,NA,NA,NA,NA
5,P,130623,142801,143269,143346,143787,147341,NA,NA,NA,NA
5,W,189767,202904,203384,203449,203775,209510,NA,NA,NA,NA
50,D,199973,213812,213977,214380,215011,215507,NA,NA,NA,NA
50,J,259054,269043,269380,269593,269962,270775,NA,NA,NA,NA
50,M,312673,327413,327776,327962,328294,329011,NA,NA,NA,NA
50,P,230595,242326,242603,242881,243379,244070,NA,NA,NA,NA
50,W,285076,298023,298374,298571,298892,300061,NA,NA,NA,NA
7,D,316894,330990,331413,331538,331738,332222,NA,NA,NA,NA
7,J,228476,238722,239188,239268,239577,240407,NA,NA,NA,NA
7,M,291966,306834,307326,307378,307715,310434,NA,NA,NA,NA
7,P,336354,348340,348806,348883,349131,349884,NA,NA,NA,NA
7,W,257552,270752,271232,271296,271556,275189,NA,NA,NA,NA
