id,task,START,TOR1,AD_off,TOR2,AD_On,END,abnormal,RT_adoff,T_steer,RT_steer,T_gas,RT_gas,,window start_fromend ,
25,W,251240,264313,264664,264865,265246,267040,,5.85,264618,5.083333333,264600,4.783333333,,187.8833333,03:08
26,D,82151,95992,96117,96566,96677,97795,1,2.083333333,96128,2.266666667,NA,#VALUE!,,200.6833333,03:21
26,J,1594,11580,12048,12125,12373,13532,,7.8,11981,6.683333333,NA,#VALUE!,,136.4333333,02:16
26,M,57073,71876,72239,72428,72499,73435,,6.05,72172,4.933333333,NA,#VALUE!,,216.7166667,03:37
26,P,92450,104176,104650,104720,104972,107178,,7.9,104579,6.716666667,104644,7.8,,165.4333333,02:45
26,W,25795,38867,39182,39418,NA,43144,1,5.25,39134,4.45,NA,#VALUE!,,187.8666667,03:08
27,D,54500,68403,68633,68964,NA,70056,1,3.833333333,68588,3.083333333,NA,#VALUE!,,201.7166667,03:22
27,J,380169,390222,390708,390764,NA,391530,1,8.1,390676,7.566666667,390706,8.066666667,,137.55,02:18
27,M,29323,44191,44493,44743,44753,45660,,5.033333333,44394,3.383333333,NA,#VALUE!,,217.8,03:38
27,P,75273,87069,87343,87625,87797,89416,1,4.566666667,87317,4.133333333,NA,#VALUE!,,166.6,02:47
27,W,1836,14907,15260,15457,15649,17930,,5.883333333,15204,4.95,NA,#VALUE!,,187.85,03:08
28,D,224548,238385,238617,238943,239264,241073,,3.866666667,238663,4.633333333,238602,3.616666667,,200.6166667,03:21
28,J,273039,283156,283492,283706,284075,285399,,5.6,283402,4.1,283444,4.8,,138.6166667,02:19
28,M,197772,212702,213196,213245,213585,214853,,8.233333333,213152,7.5,213149,7.45,,218.8333333,03:39
28,P,246252,258047,258386,258603,258710,259755,,5.65,258266,3.65,258328,4.683333333,,166.5833333,02:47
28,W,169988,182998,183347,183548,183800,186176,,5.816666667,183306,5.133333333,NA,#VALUE!,,186.8333333,03:07
29,D,659203,673106,673400,673658,673982,674368,,4.9,673453,5.783333333,673544,7.3,,201.7166667,03:22
29,J,701924,711976,712377,712522,712831,713819,,6.683333333,712386,6.833333333,NA,#VALUE!,,137.5333333,02:18
29,M,629759,644562,644990,645107,645508,646244,,7.133333333,645002,7.333333333,645384,13.7,,216.7166667,03:37
29,P,678735,690400,690739,690949,691257,692035,,5.65,690778,6.3,NA,#VALUE!,,164.4166667,02:44
29,W,724586,737531,737944,738077,738398,738895,,6.883333333,737939,6.8,NA,#VALUE!,,185.75,03:06
31,D,267019,280795,281156,281345,281996,282489,,6.016666667,281088,4.883333333,281123,5.466666667,,199.6,03:20
31,J,186593,196519,196919,197068,197630,198504,,6.666666667,196884,6.083333333,197208,11.48333333,,135.4333333,02:15
31,M,239924,254663,255091,255212,255738,257121,,7.133333333,255052,6.483333333,255313,10.83333333,,215.65,03:36
31,P,153739,165468,166002,166010,166843,168932,,8.9,165991,8.716666667,166300,13.86666667,,165.4833333,02:45
31,W,211665,224608,225023,225160,225670,226670,,6.916666667,224895,4.783333333,225267,10.98333333,,185.7166667,03:06
32,D,49349,63443,63610,64009,64193,64676,,2.783333333,63639,3.266666667,63784,5.683333333,,204.9,03:25
32,J,212524,222705,223042,223255,223431,225790,,5.616666667,223011,5.1,224787,34.7,,139.6833333,02:20
32,M,16887,31622,31925,32183,32443,34585,,5.05,31904,4.7,32117,8.25,,215.5833333,03:36
32,P,73269,85189,85400,85751,85919,87444,,3.516666667,85430,4.016666667,NA,#VALUE!,,168.6666667,02:49
