Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
879,"[414.13916015625, 146.33981323242188]","[420.06768798828125, 128.87527465820312]","[402.6202087402344, 129.69544982910156]","[402.9692077636719, 113.85120391845703]","[364.467041015625, 115.8099594116211]","[379.1902770996094, 157.59585571289062]","[324.23016357421875, 174.15167236328125]","[398.4172668457031, 268.4153137207031]","[345.9781494140625, 307.14849853515625]","[443.70062255859375, 228.83761596679688]","[422.6904602050781, 235.1627655029297]","[366.689697265625, 322.2066650390625]","[331.0522155761719, 337.083984375]","[400.31671142578125, 321.3247375488281]","[382.18011474609375, 338.38427734375]","[384.6345520019531, 391.0511169433594]","[368.3584899902344, 415.59356689453125]"
880,"[414.239990234375, 145.85211181640625]","[420.36834716796875, 128.48858642578125]","[402.6646728515625, 129.15283203125]","[403.9023742675781, 113.62580871582031]","[364.618408203125, 115.09463500976562]","[380.15130615234375, 157.5081024169922]","[324.29461669921875, 173.1287384033203]","[399.3690490722656, 268.2489318847656]","[345.86407470703125, 305.6441650390625]","[444.60736083984375, 228.58355712890625]","[423.8150939941406, 234.52890014648438]","[366.9383544921875, 321.6199035644531]","[330.6611328125, 336.0177001953125]","[400.86175537109375, 320.70257568359375]","[381.7877197265625, 337.2337646484375]","[385.1747131347656, 390.8090515136719]","[368.1554260253906, 414.6134948730469]"
881,"[413.8113098144531, 147.04998779296875]","[420.06622314453125, 129.419677734375]","[402.30084228515625, 130.17733764648438]","[403.2557678222656, 113.92793273925781]","[364.23895263671875, 115.6594467163086]","[379.3483581542969, 157.53030395507812]","[323.132568359375, 173.74755859375]","[397.16986083984375, 270.0974426269531]","[344.2312316894531, 308.1943664550781]","[442.47161865234375, 229.0568389892578]","[422.54217529296875, 234.91998291015625]","[366.2853698730469, 321.3327941894531]","[329.95318603515625, 336.09539794921875]","[398.86944580078125, 320.55816650390625]","[380.6298522949219, 337.4585266113281]","[383.2220764160156, 390.35723876953125]","[368.1236267089844, 414.5556335449219]"
882,"[414.2965393066406, 147.39996337890625]","[420.3878479003906, 129.73851013183594]","[402.8595275878906, 130.55479431152344]","[403.43902587890625, 113.8660659790039]","[364.8581237792969, 115.72357940673828]","[379.94989013671875, 157.15603637695312]","[323.19873046875, 173.43223571777344]","[396.87762451171875, 270.3950500488281]","[343.6419372558594, 308.35223388671875]","[441.42041015625, 229.4285125732422]","[421.7923278808594, 234.97015380859375]","[366.7658996582031, 320.792236328125]","[330.1490478515625, 335.58062744140625]","[398.9544982910156, 320.22784423828125]","[380.1856689453125, 337.1718444824219]","[383.0673522949219, 389.9505920410156]","[367.7452392578125, 414.20562744140625]"
883,"[414.2344055175781, 147.37310791015625]","[420.5008850097656, 129.72216796875]","[402.61981201171875, 130.5520477294922]","[404.3013000488281, 114.2435302734375]","[364.5243835449219, 116.06788635253906]","[380.6455383300781, 157.88938903808594]","[323.231689453125, 173.80416870117188]","[396.75543212890625, 270.81768798828125]","[343.05902099609375, 307.93634033203125]","[441.6800537109375, 229.31707763671875]","[420.3847961425781, 233.78311157226562]","[366.9339599609375, 320.83331298828125]","[329.92303466796875, 335.3796081542969]","[398.1786193847656, 319.85791015625]","[379.1729431152344, 336.5785217285156]","[382.8102722167969, 389.5622863769531]","[367.40045166015625, 413.53326416015625]"
884,"[413.7838439941406, 147.899658203125]","[420.0910949707031, 130.11557006835938]","[402.4777526855469, 131.01751708984375]","[403.54022216796875, 113.68462371826172]","[364.9783935546875, 115.72923278808594]","[379.9204406738281, 156.52093505859375]","[322.11749267578125, 172.9969482421875]","[395.0672607421875, 270.896240234375]","[340.82757568359375, 308.8473815917969]","[441.7302551269531, 230.11038208007812]","[419.4931945800781, 234.46788024902344]","[365.4519958496094, 319.7017517089844]","[328.33306884765625, 334.643310546875]","[397.4546203613281, 319.225341796875]","[378.77117919921875, 336.3626403808594]","[380.9639892578125, 389.2943115234375]","[366.4718322753906, 413.6824035644531]"
885,"[414.22119140625, 148.6735382080078]","[420.1165466308594, 130.82180786132812]","[402.916015625, 132.0222930908203]","[403.6986083984375, 114.08627319335938]","[365.45538330078125, 116.86878967285156]","[381.7527160644531, 156.56788635253906]","[321.92010498046875, 174.1559295654297]","[399.22137451171875, 270.09454345703125]","[341.51568603515625, 309.7904357910156]","[446.33416748046875, 230.1632537841797]","[419.9768371582031, 234.0853729248047]","[367.21087646484375, 319.7452087402344]","[328.86199951171875, 335.2247314453125]","[398.73736572265625, 317.9693603515625]","[378.1875, 335.7947692871094]","[382.3586730957031, 388.05633544921875]","[366.445068359375, 413.5034484863281]"
886,"[414.1959228515625, 148.28265380859375]","[420.0782775878906, 130.66636657714844]","[402.7607116699219, 131.78582763671875]","[404.7996826171875, 114.55003356933594]","[365.41387939453125, 116.99384307861328]","[383.340087890625, 157.48663330078125]","[322.2955627441406, 174.22897338867188]","[400.0314636230469, 269.77587890625]","[340.7763977050781, 308.358154296875]","[445.5865173339844, 230.03720092773438]","[419.2947998046875, 234.35183715820312]","[369.2277526855469, 320.6646728515625]","[329.99139404296875, 335.68548583984375]","[400.6275329589844, 317.8902587890625]","[378.4889221191406, 335.2752685546875]","[383.48016357421875, 388.3066711425781]","[365.9169616699219, 413.1495666503906]"
887,"[413.76025390625, 148.8158721923828]","[419.5688781738281, 131.1975860595703]","[402.41632080078125, 132.3431854248047]","[403.6277160644531, 114.81331634521484]","[365.1009826660156, 117.3853759765625]","[381.68463134765625, 157.26239013671875]","[322.1700439453125, 174.30734252929688]","[397.8013000488281, 269.3035888671875]","[340.3265075683594, 308.2693786621094]","[443.4289245605469, 229.4390869140625]","[419.4025573730469, 234.39053344726562]","[368.3807067871094, 320.2086181640625]","[330.05859375, 335.3998107910156]","[400.6274719238281, 317.8852844238281]","[378.8075256347656, 335.3651123046875]","[382.9709777832031, 388.1619873046875]","[365.21832275390625, 413.11004638671875]"
888,"[414.3133239746094, 148.9696807861328]","[419.96148681640625, 131.35443115234375]","[402.93914794921875, 132.55471801757812]","[404.01251220703125, 115.05398559570312]","[365.4418029785156, 117.70147705078125]","[382.30914306640625, 157.65663146972656]","[322.0024108886719, 174.81417846679688]","[398.18145751953125, 269.78814697265625]","[339.82293701171875, 309.02557373046875]","[443.5534362792969, 229.3037567138672]","[419.523193359375, 234.28341674804688]","[369.0959777832031, 320.10870361328125]","[330.21258544921875, 335.40362548828125]","[401.710693359375, 318.0008239746094]","[379.09869384765625, 335.6773986816406]","[383.2290954589844, 387.91644287109375]","[364.92059326171875, 413.159912109375]"
