Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
381,"[286.38427734375, 142.572021484375]","[282.57537841796875, 127.16364288330078]","[282.91497802734375, 127.96815490722656]","[234.347900390625, 115.78147888183594]","[247.99447631835938, 122.56507873535156]","[192.4602508544922, 172.9493408203125]","[214.207763671875, 201.05648803710938]","[224.1973114013672, 269.5914001464844]","[252.83880615234375, 315.3988952636719]","[298.1914978027344, 274.7198181152344]","[314.0353088378906, 284.5057678222656]","[215.57557678222656, 351.2310485839844]","[231.6895751953125, 377.3778076171875]","[378.9867858886719, 301.0151672363281]","[397.4772033691406, 329.3982238769531]","[418.85552978515625, 376.0555114746094]","[444.04779052734375, 408.87701416015625]"
382,"[286.3149719238281, 142.52020263671875]","[282.4891052246094, 127.21166229248047]","[282.9570617675781, 127.8947982788086]","[234.16648864746094, 115.96427154541016]","[248.22047424316406, 122.48332214355469]","[192.4069061279297, 173.0140838623047]","[214.35888671875, 200.84588623046875]","[224.4663848876953, 269.5674133300781]","[253.25143432617188, 315.1451416015625]","[298.33685302734375, 274.2907409667969]","[314.242431640625, 284.28594970703125]","[215.3990936279297, 351.0180358886719]","[231.65745544433594, 376.9849853515625]","[379.2756042480469, 302.1004943847656]","[397.8036804199219, 330.04852294921875]","[418.8985290527344, 377.2401123046875]","[444.05047607421875, 409.59393310546875]"
383,"[286.6758117675781, 142.4991912841797]","[282.8310241699219, 127.10659790039062]","[283.22772216796875, 127.85685729980469]","[234.3339385986328, 115.61563110351562]","[248.181396484375, 122.34255981445312]","[192.1922149658203, 172.55813598632812]","[214.41224670410156, 200.75363159179688]","[224.20217895507812, 269.3075866699219]","[253.43801879882812, 315.4452209472656]","[299.0035400390625, 274.424560546875]","[315.09661865234375, 284.35614013671875]","[215.09568786621094, 351.7165222167969]","[231.45819091796875, 377.8654479980469]","[379.0983581542969, 301.05340576171875]","[397.67889404296875, 329.3211364746094]","[418.229736328125, 376.6540832519531]","[443.57843017578125, 409.25848388671875]"
384,"[286.6483154296875, 142.5479736328125]","[282.7950439453125, 127.02194213867188]","[283.2298889160156, 127.9937515258789]","[234.09796142578125, 115.22532653808594]","[248.26455688476562, 122.41880798339844]","[191.6717529296875, 171.9688262939453]","[214.65467834472656, 200.8197784423828]","[223.9752960205078, 268.9433288574219]","[253.7153778076172, 315.7004699707031]","[299.50494384765625, 275.2310791015625]","[315.4206848144531, 284.9520263671875]","[214.50274658203125, 351.93402099609375]","[231.3233184814453, 378.4124450683594]","[377.5394287109375, 300.4034729003906]","[396.5729675292969, 329.37969970703125]","[418.4065246582031, 374.99835205078125]","[443.8677062988281, 408.2877502441406]"
385,"[286.63330078125, 142.5248565673828]","[282.80633544921875, 127.02117919921875]","[283.159423828125, 127.9520034790039]","[234.25465393066406, 115.4263687133789]","[248.14537048339844, 122.53814697265625]","[191.8596954345703, 172.51841735839844]","[214.60020446777344, 201.0516357421875]","[223.90406799316406, 269.44000244140625]","[253.462158203125, 315.6313781738281]","[299.16424560546875, 275.4224853515625]","[314.904296875, 285.26019287109375]","[214.70046997070312, 351.5446472167969]","[231.41619873046875, 377.8891296386719]","[378.02105712890625, 300.7867431640625]","[397.0016784667969, 329.54461669921875]","[418.6966857910156, 375.18951416015625]","[443.9947204589844, 408.32684326171875]"
386,"[286.8593444824219, 142.64466857910156]","[283.0665283203125, 127.26968383789062]","[283.5047912597656, 128.0467071533203]","[234.65748596191406, 115.67621612548828]","[248.4278564453125, 122.3680648803711]","[192.80712890625, 172.28375244140625]","[213.8115234375, 200.86729431152344]","[224.6696319580078, 268.3524475097656]","[252.46876525878906, 315.48223876953125]","[298.4095764160156, 275.0994567871094]","[314.1979675292969, 285.6508483886719]","[215.508544921875, 351.4805908203125]","[231.14804077148438, 377.77801513671875]","[378.5946960449219, 301.2598571777344]","[396.5885009765625, 329.57318115234375]","[418.76123046875, 375.7087097167969]","[444.23712158203125, 408.1477966308594]"
387,"[286.8062744140625, 142.75128173828125]","[283.03765869140625, 127.46157836914062]","[283.51190185546875, 128.144287109375]","[234.66270446777344, 115.95435333251953]","[248.40623474121094, 122.34805297851562]","[193.05372619628906, 172.58248901367188]","[213.5042266845703, 200.66519165039062]","[225.0017852783203, 269.11456298828125]","[252.88536071777344, 315.3988037109375]","[298.89532470703125, 275.5667419433594]","[314.6810302734375, 285.14898681640625]","[215.8882598876953, 351.8028259277344]","[231.19186401367188, 377.8334655761719]","[378.3497314453125, 301.3735656738281]","[395.9620056152344, 328.88433837890625]","[419.62445068359375, 375.9044494628906]","[445.1507263183594, 407.2423095703125]"
388,"[286.5458679199219, 141.94895935058594]","[282.90850830078125, 127.24240112304688]","[283.6500549316406, 127.37984466552734]","[235.9120330810547, 117.13320922851562]","[249.5685577392578, 121.92945098876953]","[198.17271423339844, 173.1390380859375]","[211.1803436279297, 199.68997192382812]","[230.77047729492188, 267.9011535644531]","[247.4454345703125, 313.43280029296875]","[300.8067626953125, 277.6604309082031]","[310.4688720703125, 286.9820251464844]","[222.15243530273438, 352.2467041015625]","[233.0709686279297, 377.73944091796875]","[384.5101318359375, 302.4839782714844]","[398.4113464355469, 328.3191833496094]","[424.2655334472656, 383.7924499511719]","[449.49896240234375, 412.951171875]"
389,"[286.6178283691406, 142.1905975341797]","[282.6676025390625, 127.2229232788086]","[284.0254821777344, 127.69222259521484]","[234.469482421875, 116.71302795410156]","[250.66085815429688, 122.34597778320312]","[196.24758911132812, 172.51446533203125]","[212.4714813232422, 200.52992248535156]","[229.1271514892578, 266.3525390625]","[248.7165069580078, 313.9178771972656]","[299.4844055175781, 276.6942138671875]","[310.4667053222656, 287.1228942871094]","[219.8937530517578, 352.8841552734375]","[232.9599151611328, 378.9406433105469]","[383.00164794921875, 302.18133544921875]","[398.5009765625, 328.7247009277344]","[425.0285339355469, 384.2941589355469]","[449.9475402832031, 414.1804504394531]"
390,"[286.6361999511719, 142.33108520507812]","[282.7742614746094, 127.30795288085938]","[283.9216003417969, 127.74028015136719]","[234.61326599121094, 116.61891174316406]","[250.11956787109375, 122.13194274902344]","[195.8964385986328, 172.8668975830078]","[212.65269470214844, 200.80921936035156]","[228.81532287597656, 267.994384765625]","[250.44700622558594, 315.2636413574219]","[300.115966796875, 276.5843505859375]","[311.8720703125, 286.1974182128906]","[220.73562622070312, 354.3581237792969]","[234.0732879638672, 380.4194641113281]","[382.8565979003906, 301.8475341796875]","[398.5124206542969, 328.3597412109375]","[425.7872314453125, 383.8373107910156]","[451.21490478515625, 413.6729736328125]"
