Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
327,"[324.46307373046875, 131.25425720214844]","[324.8341369628906, 117.59605407714844]","[320.4548034667969, 113.29955291748047]","[286.3087463378906, 106.29068756103516]","[284.78680419921875, 101.59362030029297]","[263.7386169433594, 164.50213623046875]","[242.19744873046875, 177.8470001220703]","[289.5498962402344, 285.62298583984375]","[273.1407470703125, 321.50189208984375]","[358.0883483886719, 263.46014404296875]","[353.399169921875, 283.10772705078125]","[298.1426696777344, 346.3956604003906]","[286.3081970214844, 366.27081298828125]","[464.20379638671875, 339.27996826171875]","[457.53094482421875, 353.79205322265625]","[474.5526123046875, 475.28460693359375]","[501.72711181640625, 499.12054443359375]"
328,"[324.40777587890625, 131.07211303710938]","[324.8775634765625, 117.40567016601562]","[320.2063903808594, 113.0492935180664]","[286.6278381347656, 106.2817611694336]","[284.01666259765625, 101.38179016113281]","[264.0086975097656, 165.00439453125]","[241.8840789794922, 178.05763244628906]","[289.8401184082031, 286.7361145019531]","[273.6842041015625, 322.06640625]","[358.1300354003906, 263.9761657714844]","[353.2212829589844, 283.3536376953125]","[299.4322204589844, 346.9237365722656]","[287.21112060546875, 366.70562744140625]","[464.60302734375, 339.2346496582031]","[457.8066101074219, 353.6145324707031]","[475.0437316894531, 474.8058776855469]","[502.83209228515625, 498.4837646484375]"
329,"[324.2524108886719, 131.266357421875]","[324.56158447265625, 117.52418518066406]","[319.9947204589844, 113.23567199707031]","[286.205322265625, 106.29995727539062]","[283.8530578613281, 101.59339141845703]","[263.8518981933594, 165.23126220703125]","[241.9221954345703, 178.15631103515625]","[289.69317626953125, 287.1951599121094]","[273.9350280761719, 322.0681457519531]","[358.16998291015625, 264.00457763671875]","[353.7596435546875, 283.19659423828125]","[299.2070617675781, 347.4219970703125]","[287.1012878417969, 367.12017822265625]","[464.34375, 339.6069030761719]","[457.7621154785156, 353.80426025390625]","[474.46026611328125, 475.248779296875]","[501.84832763671875, 498.6006164550781]"
330,"[324.2251892089844, 131.2359619140625]","[324.511962890625, 117.56014251708984]","[320.0597229003906, 113.2115249633789]","[286.0595397949219, 106.4256820678711]","[284.0340270996094, 101.57791900634766]","[263.6946105957031, 165.376708984375]","[242.00253295898438, 178.08233642578125]","[289.8820495605469, 287.1199035644531]","[273.94903564453125, 321.4241943359375]","[358.1784973144531, 264.2447204589844]","[353.1153564453125, 282.62872314453125]","[298.7725830078125, 347.20062255859375]","[286.887939453125, 366.7763671875]","[464.318115234375, 339.7852478027344]","[458.02728271484375, 353.69183349609375]","[474.6594543457031, 475.26251220703125]","[502.3037414550781, 498.3124694824219]"
331,"[325.7053527832031, 131.4096221923828]","[329.0883483886719, 116.04167938232422]","[317.0296325683594, 114.11936950683594]","[298.4889221191406, 108.48001861572266]","[278.8448181152344, 104.35272979736328]","[268.9991455078125, 161.8053741455078]","[241.2468719482422, 173.839599609375]","[290.916015625, 280.3722839355469]","[269.2658386230469, 317.31072998046875]","[349.5663757324219, 256.9915771484375]","[357.2376708984375, 278.5849609375]","[283.6808166503906, 321.9683837890625]","[264.9414367675781, 337.9271545410156]","[382.6827392578125, 322.3162536621094]","[380.8662414550781, 339.2738037109375]","[369.2226257324219, 377.6939392089844]","[363.2148132324219, 399.0427551269531]"
332,"[325.9731140136719, 131.4147186279297]","[329.38671875, 115.9450912475586]","[317.2581481933594, 114.11996459960938]","[298.68475341796875, 108.24602508544922]","[278.9794006347656, 104.40580749511719]","[268.9857482910156, 161.51422119140625]","[241.40928649902344, 174.0768280029297]","[290.8675231933594, 280.03948974609375]","[269.4721984863281, 317.6845703125]","[349.67010498046875, 257.1195068359375]","[357.4171142578125, 278.7513732910156]","[284.1002502441406, 321.64556884765625]","[265.4468994140625, 337.89532470703125]","[383.06170654296875, 322.3354187011719]","[381.20269775390625, 339.5797119140625]","[370.03192138671875, 376.9953308105469]","[363.7678527832031, 398.7466735839844]"
333,"[325.9924011230469, 131.4722137451172]","[329.4274597167969, 116.0069351196289]","[317.2380065917969, 114.13257598876953]","[298.84564208984375, 108.26741027832031]","[278.9078063964844, 104.28584289550781]","[269.3002624511719, 161.56997680664062]","[241.35800170898438, 173.90386962890625]","[291.5691833496094, 280.1728820800781]","[269.776123046875, 317.56390380859375]","[350.13812255859375, 256.48504638671875]","[357.9834289550781, 278.1087341308594]","[284.1139221191406, 322.1778259277344]","[265.2149963378906, 338.2959899902344]","[382.6964416503906, 322.4649353027344]","[380.7162780761719, 339.5929870605469]","[369.14263916015625, 377.18426513671875]","[362.765625, 398.7803955078125]"
334,"[325.9053955078125, 131.6239471435547]","[329.3907165527344, 116.12503051757812]","[317.1895446777344, 114.25634765625]","[298.78045654296875, 108.22309875488281]","[278.9518127441406, 104.27140808105469]","[269.1927490234375, 161.36929321289062]","[241.3248748779297, 173.73822021484375]","[291.32196044921875, 280.2047424316406]","[269.6818542480469, 317.5687255859375]","[349.9648132324219, 256.6399841308594]","[357.87286376953125, 278.2398986816406]","[283.8296203613281, 321.5320129394531]","[265.00518798828125, 337.6505432128906]","[382.08477783203125, 321.3768310546875]","[380.12237548828125, 338.4823913574219]","[368.6415710449219, 375.39862060546875]","[362.37786865234375, 396.961669921875]"
335,"[325.8407897949219, 131.4349365234375]","[329.3699035644531, 116.00264739990234]","[317.0644226074219, 114.08384704589844]","[299.1006774902344, 108.34435272216797]","[278.8124694824219, 104.21823120117188]","[269.5057678222656, 161.72776794433594]","[241.52999877929688, 173.64366149902344]","[291.3288879394531, 280.3223571777344]","[269.7148132324219, 317.0249938964844]","[350.2005310058594, 257.0841064453125]","[358.13775634765625, 278.6097106933594]","[284.0277404785156, 321.4830627441406]","[265.1349182128906, 337.328857421875]","[381.9004211425781, 321.46124267578125]","[379.7903137207031, 338.26263427734375]","[368.6187744140625, 375.11993408203125]","[362.1888732910156, 396.2640686035156]"
336,"[325.8980712890625, 131.4784393310547]","[329.4658203125, 116.10990905761719]","[317.1125183105469, 114.17070007324219]","[299.6140441894531, 108.58585357666016]","[278.7823791503906, 104.32975006103516]","[269.609619140625, 161.86305236816406]","[241.2762908935547, 173.58914184570312]","[290.64202880859375, 279.8293151855469]","[268.7991027832031, 316.5018310546875]","[350.37200927734375, 257.0111999511719]","[357.6702880859375, 278.52801513671875]","[283.9887390136719, 320.5970764160156]","[264.84686279296875, 336.4208679199219]","[382.4751281738281, 321.36163330078125]","[380.39483642578125, 338.2021179199219]","[369.6253356933594, 374.488037109375]","[363.2304382324219, 395.6448669433594]"
