Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
201,"[256.94512939453125, 96.53475952148438]","[261.7105407714844, 81.67597961425781]","[239.05487060546875, 83.02789306640625]","[255.76397705078125, 86.82364654541016]","[200.96026611328125, 94.04350280761719]","[242.7859649658203, 161.92530822753906]","[178.0111541748047, 183.9907989501953]","[267.8691101074219, 259.9458312988281]","[201.83766174316406, 314.02056884765625]","[321.8925476074219, 292.0500183105469]","[314.9057922363281, 317.2189025878906]","[267.0049743652344, 334.8864440917969]","[224.7633819580078, 359.8155822753906]","[422.98583984375, 313.1394958496094]","[397.131591796875, 341.20751953125]","[384.94500732421875, 393.4003601074219]","[402.6081848144531, 417.1914367675781]"
202,"[256.696533203125, 96.64240264892578]","[261.4591369628906, 81.6888198852539]","[238.6371612548828, 83.15921020507812]","[255.60435485839844, 86.8477783203125]","[200.5116729736328, 94.41478729248047]","[242.44688415527344, 162.17990112304688]","[178.19137573242188, 184.51214599609375]","[267.3446044921875, 260.2797546386719]","[201.8839569091797, 314.5879211425781]","[322.17327880859375, 292.0718078613281]","[315.1321105957031, 317.5198974609375]","[267.0861511230469, 335.3206787109375]","[225.14085388183594, 360.44097900390625]","[423.5299987792969, 313.0767517089844]","[398.089599609375, 341.4979248046875]","[385.2030029296875, 392.8785095214844]","[402.9840087890625, 416.9696044921875]"
203,"[256.806640625, 96.38134765625]","[261.53564453125, 81.53489685058594]","[238.7719268798828, 82.91924285888672]","[255.5550079345703, 87.0252914428711]","[200.4971466064453, 94.37059020996094]","[242.61123657226562, 162.6634521484375]","[178.20700073242188, 184.78221130371094]","[267.8536071777344, 260.7452392578125]","[201.9788818359375, 314.63446044921875]","[322.53314208984375, 292.4035339355469]","[315.1950378417969, 317.44952392578125]","[268.10076904296875, 335.8143310546875]","[226.1151580810547, 360.859619140625]","[423.7143249511719, 313.2771301269531]","[398.2773742675781, 341.6263732910156]","[385.5435791015625, 392.92327880859375]","[403.51483154296875, 416.8651428222656]"
204,"[256.8320617675781, 96.223876953125]","[261.5538024902344, 81.37692260742188]","[238.69642639160156, 82.77376556396484]","[255.7301788330078, 87.04280090332031]","[200.42385864257812, 94.43090057373047]","[243.04627990722656, 163.0901336669922]","[178.23211669921875, 184.91653442382812]","[268.1603698730469, 261.531005859375]","[201.84054565429688, 314.73760986328125]","[322.856689453125, 293.19854736328125]","[315.3570556640625, 317.6980895996094]","[268.49468994140625, 336.18310546875]","[226.24497985839844, 361.09832763671875]","[424.1655578613281, 313.5838623046875]","[398.5062561035156, 341.6849060058594]","[385.6906433105469, 392.9002990722656]","[403.3556213378906, 416.4621276855469]"
205,"[256.49505615234375, 96.213134765625]","[261.3110046386719, 81.26932525634766]","[238.2992706298828, 82.7864761352539]","[256.0102233886719, 86.58455657958984]","[200.297119140625, 94.19764709472656]","[243.5673065185547, 162.1379852294922]","[178.23312377929688, 184.30911254882812]","[268.57025146484375, 260.63818359375]","[201.99632263183594, 314.57611083984375]","[322.5995788574219, 292.5612487792969]","[315.6607360839844, 317.6069030761719]","[268.5625305175781, 335.0401306152344]","[225.94244384765625, 360.0941467285156]","[424.2982482910156, 313.2394714355469]","[398.5093994140625, 341.55267333984375]","[385.81329345703125, 392.6679382324219]","[403.5975036621094, 416.45672607421875]"
206,"[255.81069946289062, 96.37410736083984]","[260.762451171875, 81.27619171142578]","[237.50282287597656, 82.99073028564453]","[255.98245239257812, 86.38467407226562]","[200.00245666503906, 94.48031616210938]","[243.5402069091797, 161.86708068847656]","[178.62794494628906, 184.5061798095703]","[268.1009521484375, 260.1372985839844]","[202.0457305908203, 314.7339782714844]","[322.4348449707031, 292.2628173828125]","[315.85498046875, 317.6017761230469]","[268.0297546386719, 334.89105224609375]","[225.6119842529297, 360.1315002441406]","[423.7496337890625, 313.2036437988281]","[398.34515380859375, 341.92510986328125]","[385.01531982421875, 392.08538818359375]","[402.9280090332031, 416.3386535644531]"
207,"[256.4306640625, 96.12710571289062]","[261.0013427734375, 81.13746643066406]","[238.26177978515625, 82.75186157226562]","[255.58200073242188, 86.3690414428711]","[200.4651641845703, 94.21824645996094]","[243.9792022705078, 162.03176879882812]","[177.95587158203125, 184.2179412841797]","[269.5959777832031, 260.926025390625]","[201.74111938476562, 314.7408142089844]","[323.16937255859375, 292.9083557128906]","[315.7021484375, 318.13836669921875]","[268.81036376953125, 334.99932861328125]","[225.92481994628906, 360.0636901855469]","[425.60284423828125, 313.2944030761719]","[400.1688537597656, 341.1074523925781]","[387.509521484375, 392.5301513671875]","[405.768310546875, 415.3346862792969]"
208,"[256.6393127441406, 96.3446273803711]","[261.4354553222656, 81.48291778564453]","[238.46737670898438, 82.79637908935547]","[256.1985168457031, 86.85200500488281]","[200.3009490966797, 93.99396514892578]","[244.02694702148438, 162.3837890625]","[177.67031860351562, 183.92747497558594]","[269.5434875488281, 261.20977783203125]","[201.72030639648438, 314.5614318847656]","[323.0752868652344, 292.6415710449219]","[315.6324462890625, 317.7998962402344]","[268.58837890625, 335.11407470703125]","[225.3367919921875, 359.87518310546875]","[425.2131042480469, 313.6322021484375]","[398.9591979980469, 341.2689514160156]","[385.69036865234375, 393.0044860839844]","[403.6568603515625, 416.01885986328125]"
209,"[255.9890594482422, 95.68622589111328]","[260.982421875, 80.85794067382812]","[237.85940551757812, 82.16477966308594]","[256.0693664550781, 86.367919921875]","[200.01791381835938, 93.43391418457031]","[244.02415466308594, 162.13706970214844]","[177.43800354003906, 183.65711975097656]","[269.00421142578125, 260.9602355957031]","[201.84814453125, 314.33251953125]","[322.387451171875, 291.6648864746094]","[315.0953369140625, 317.0135192871094]","[268.4591979980469, 335.3254699707031]","[225.0999298095703, 360.0103454589844]","[424.5432434082031, 313.8459167480469]","[398.25091552734375, 341.21331787109375]","[385.9140930175781, 394.773681640625]","[404.1726379394531, 417.7496337890625]"
210,"[255.97047424316406, 95.64230346679688]","[261.1496887207031, 80.80570220947266]","[237.8370361328125, 82.06306457519531]","[256.6009826660156, 86.11775970458984]","[199.84620666503906, 92.9432373046875]","[244.29432678222656, 161.40834045410156]","[177.12461853027344, 182.78463745117188]","[269.4114990234375, 260.3035888671875]","[201.7383270263672, 313.508544921875]","[321.9743347167969, 291.62091064453125]","[314.7510070800781, 316.782470703125]","[268.5954895019531, 334.5614318847656]","[224.76699829101562, 359.2735595703125]","[424.4721984863281, 313.3356018066406]","[397.5657653808594, 341.1889343261719]","[386.2228088378906, 394.8511962890625]","[404.2773742675781, 418.7393493652344]"
