Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
930,"[432.15234375, 192.90060424804688]","[436.07037353515625, 176.5568389892578]","[423.1870422363281, 175.37081909179688]","[424.47613525390625, 164.1914520263672]","[383.018310546875, 159.10891723632812]","[380.47821044921875, 210.31976318359375]","[319.7151794433594, 225.48165893554688]","[409.46575927734375, 303.6468505859375]","[295.0675048828125, 366.18359375]","[497.773681640625, 318.06243896484375]","[405.1346130371094, 387.5245361328125]","[378.7283935546875, 415.03619384765625]","[333.4587707519531, 436.58251953125]","[509.3587951660156, 410.4808349609375]","[474.5201110839844, 437.8726501464844]","[479.4456481933594, 452.0502624511719]","[425.8873291015625, 487.8650207519531]"
931,"[433.0069885253906, 192.02711486816406]","[436.5968933105469, 175.73739624023438]","[424.314697265625, 174.35975646972656]","[423.34515380859375, 163.2732391357422]","[383.2752380371094, 157.6643524169922]","[380.2551574707031, 209.1925506591797]","[319.4605712890625, 224.10873413085938]","[410.0861511230469, 302.42803955078125]","[294.2964172363281, 364.39837646484375]","[499.9629821777344, 319.51165771484375]","[399.66204833984375, 389.07989501953125]","[383.2693176269531, 415.4981689453125]","[338.96832275390625, 436.9799499511719]","[507.0672302246094, 415.2136535644531]","[476.5809631347656, 442.2649841308594]","[481.78070068359375, 457.2270202636719]","[435.63739013671875, 492.66827392578125]"
932,"[433.70062255859375, 192.2589111328125]","[437.2281494140625, 175.9127655029297]","[424.5270080566406, 174.6595001220703]","[425.6175842285156, 163.68348693847656]","[382.7665710449219, 158.17816162109375]","[383.284423828125, 210.00390625]","[319.6358947753906, 224.50039672851562]","[412.7569885253906, 302.8163757324219]","[293.44696044921875, 363.5755310058594]","[500.86981201171875, 321.078369140625]","[399.85687255859375, 388.4197082519531]","[388.42303466796875, 417.8102722167969]","[341.63922119140625, 439.1243896484375]","[512.1920776367188, 418.8786926269531]","[474.6060791015625, 445.8430480957031]","[490.18865966796875, 462.4576721191406]","[434.0109558105469, 497.8472900390625]"
933,"[433.0651550292969, 193.76144409179688]","[436.95953369140625, 177.0897216796875]","[423.28582763671875, 175.8307342529297]","[425.739990234375, 164.24615478515625]","[381.0357666015625, 158.80857849121094]","[383.1838684082031, 210.14964294433594]","[319.5111083984375, 225.01809692382812]","[413.52813720703125, 303.9473876953125]","[298.5844421386719, 365.96331787109375]","[501.3454284667969, 320.8162841796875]","[410.1720886230469, 387.68060302734375]","[387.8216247558594, 418.220703125]","[341.1020202636719, 439.80755615234375]","[514.7026977539062, 416.9008483886719]","[480.7374572753906, 444.1086120605469]","[488.2445068359375, 462.0824890136719]","[438.6654052734375, 497.5926208496094]"
934,"[433.2934875488281, 194.94644165039062]","[437.0760498046875, 178.54335021972656]","[424.1767272949219, 177.14950561523438]","[425.4615173339844, 165.057861328125]","[382.9865417480469, 159.3009490966797]","[383.7924499511719, 209.92868041992188]","[319.9661865234375, 224.61337280273438]","[413.9270324707031, 303.6547546386719]","[299.996337890625, 365.30596923828125]","[501.7476501464844, 321.0881042480469]","[408.89813232421875, 387.4120788574219]","[388.0260314941406, 416.9988098144531]","[341.1820983886719, 438.55767822265625]","[516.2877197265625, 417.96710205078125]","[480.6497802734375, 445.081787109375]","[492.816650390625, 462.09136962890625]","[439.8529357910156, 497.3659973144531]"
935,"[432.6978454589844, 195.02691650390625]","[437.43597412109375, 178.49281311035156]","[423.0, 176.89288330078125]","[427.83428955078125, 165.55801391601562]","[381.5760192871094, 159.136474609375]","[385.0097351074219, 211.64694213867188]","[319.73748779296875, 224.93357849121094]","[413.72711181640625, 306.3692932128906]","[298.6490478515625, 365.8688659667969]","[500.84344482421875, 320.6341247558594]","[408.0017395019531, 386.5533447265625]","[387.8136291503906, 420.61737060546875]","[340.157470703125, 441.3065185546875]","[510.7793884277344, 426.9510803222656]","[477.2062072753906, 453.1708679199219]","[487.5580749511719, 472.0723571777344]","[438.06243896484375, 506.0975036621094]"
936,"[432.9942932128906, 195.08958435058594]","[437.73040771484375, 178.84519958496094]","[424.08673095703125, 177.04359436035156]","[427.5052490234375, 166.03848266601562]","[383.7865905761719, 159.09628295898438]","[384.6441955566406, 212.654541015625]","[319.81640625, 225.50820922851562]","[411.7523193359375, 308.7675476074219]","[299.2373046875, 367.68597412109375]","[496.5856018066406, 319.93634033203125]","[414.2556457519531, 384.6772155761719]","[385.40966796875, 424.163818359375]","[338.7506103515625, 444.7595520019531]","[505.1366271972656, 431.18023681640625]","[479.58526611328125, 457.4046325683594]","[477.6797180175781, 479.55377197265625]","[442.6080322265625, 513.4129028320312]"
937,"[433.4534912109375, 194.61485290527344]","[436.954833984375, 178.88870239257812]","[425.8403625488281, 177.3145751953125]","[425.09979248046875, 166.33255004882812]","[386.98712158203125, 159.86228942871094]","[385.87664794921875, 213.67913818359375]","[319.0723876953125, 227.57891845703125]","[414.487548828125, 309.9437561035156]","[297.61993408203125, 370.95721435546875]","[497.1849060058594, 318.6939697265625]","[414.9448547363281, 385.8211975097656]","[387.6182861328125, 427.3755187988281]","[340.6373291015625, 448.41046142578125]","[499.2878723144531, 437.01947021484375]","[476.6748962402344, 463.7604675292969]","[472.5322570800781, 486.44677734375]","[445.8190002441406, 521.2390747070312]"
938,"[431.1639404296875, 195.10873413085938]","[433.25445556640625, 180.73342895507812]","[425.04583740234375, 176.48699951171875]","[404.088134765625, 165.4561309814453]","[387.6910400390625, 159.21011352539062]","[370.11053466796875, 207.80255126953125]","[327.2288818359375, 231.9846954345703]","[402.201171875, 303.68365478515625]","[292.3475646972656, 370.9770202636719]","[472.8165283203125, 340.5985107421875]","[391.5864562988281, 386.7268981933594]","[398.7940368652344, 413.4228515625]","[371.7354736328125, 443.8940734863281]","[550.3831787109375, 408.7069091796875]","[521.2601928710938, 448.29473876953125]","[533.863037109375, 463.29144287109375]","[540.5266723632812, 496.4262390136719]"
939,"[431.9345703125, 195.85662841796875]","[432.4776611328125, 181.72518920898438]","[427.1168518066406, 177.7056121826172]","[399.59759521484375, 166.1263427734375]","[390.8214416503906, 160.54989624023438]","[366.0063781738281, 207.22691345214844]","[328.9552001953125, 233.15908813476562]","[400.8945007324219, 303.3386535644531]","[298.3702697753906, 372.287841796875]","[469.16448974609375, 340.34075927734375]","[392.1881408691406, 386.9049072265625]","[394.38970947265625, 409.0873718261719]","[372.0830383300781, 440.18292236328125]","[551.5994262695312, 400.92529296875]","[528.3931274414062, 440.71051025390625]","[538.8253173828125, 462.32720947265625]","[549.5005493164062, 496.9008483886719]"
940,"[434.62017822265625, 195.29164123535156]","[435.96124267578125, 180.03805541992188]","[429.9715881347656, 179.22999572753906]","[416.10772705078125, 165.78836059570312]","[394.7976379394531, 162.19583129882812]","[378.63458251953125, 210.25]","[321.5028991699219, 229.3450927734375]","[408.24859619140625, 307.9382629394531]","[300.3878173828125, 374.37115478515625]","[490.2299499511719, 316.43084716796875]","[412.2743225097656, 383.3553771972656]","[377.310791015625, 420.24749755859375]","[337.14453125, 443.8559875488281]","[497.6501159667969, 422.1085510253906]","[480.20233154296875, 451.3334045410156]","[469.86614990234375, 474.1494445800781]","[448.6336975097656, 512.5305786132812]"
941,"[431.5528564453125, 197.34902954101562]","[432.53924560546875, 183.37661743164062]","[427.32769775390625, 178.56719970703125]","[399.7237548828125, 167.435302734375]","[391.54150390625, 159.9300537109375]","[366.48333740234375, 209.23619079589844]","[327.94189453125, 232.99884033203125]","[397.9043884277344, 307.3779296875]","[297.7353820800781, 373.3202209472656]","[463.6904602050781, 340.4708557128906]","[392.94891357421875, 383.6736145019531]","[395.81866455078125, 415.0102844238281]","[372.3749084472656, 445.0181579589844]","[552.4309692382812, 407.81536865234375]","[526.55126953125, 445.05059814453125]","[541.28466796875, 471.8577575683594]","[549.72119140625, 503.8726501464844]"
942,"[432.27496337890625, 197.12828063964844]","[432.8469543457031, 183.09100341796875]","[428.4128723144531, 178.67088317871094]","[398.9643859863281, 166.87322998046875]","[393.1864013671875, 160.1613006591797]","[366.1756286621094, 207.76617431640625]","[330.07098388671875, 233.15684509277344]","[396.705810546875, 306.2927551269531]","[299.7322082519531, 374.5572814941406]","[462.2397766113281, 339.4417724609375]","[396.8392639160156, 381.2800598144531]","[397.2818603515625, 416.03594970703125]","[375.0719909667969, 446.4163513183594]","[546.9475708007812, 409.9411926269531]","[522.5897827148438, 447.4313049316406]","[537.377685546875, 467.4471130371094]","[546.9779663085938, 498.2030944824219]"
943,"[432.5122375488281, 196.81686401367188]","[432.8390808105469, 182.92604064941406]","[428.6955261230469, 178.4845733642578]","[398.6153869628906, 166.63734436035156]","[393.26971435546875, 159.884033203125]","[366.8350830078125, 207.012451171875]","[330.3644104003906, 232.253173828125]","[397.1332702636719, 305.8284606933594]","[304.61260986328125, 373.5182189941406]","[462.7209777832031, 339.4002685546875]","[401.73626708984375, 380.85772705078125]","[399.92425537109375, 416.2585144042969]","[377.3838806152344, 446.3720397949219]","[549.7750854492188, 413.39666748046875]","[524.7067260742188, 448.7253112792969]","[544.2627563476562, 474.475830078125]","[552.5421752929688, 501.9645080566406]"
944,"[436.06378173828125, 195.5215301513672]","[437.3009033203125, 180.36859130859375]","[432.19091796875, 179.04295349121094]","[415.32696533203125, 166.0692596435547]","[396.711181640625, 160.97373962402344]","[379.69287109375, 212.1218719482422]","[321.9222106933594, 230.05215454101562]","[406.3001403808594, 314.2940368652344]","[306.1236572265625, 378.2897644042969]","[482.385986328125, 317.7475280761719]","[424.39703369140625, 379.0168762207031]","[385.8238220214844, 431.476318359375]","[346.2470703125, 454.5970764160156]","[487.8379211425781, 450.8500061035156]","[478.0254211425781, 479.2650146484375]","[464.7068786621094, 503.5972595214844]","[457.2003479003906, 540.0]"
945,"[431.7532043457031, 197.944580078125]","[432.25115966796875, 183.9356689453125]","[428.1200256347656, 179.63937377929688]","[398.8380432128906, 167.24708557128906]","[393.7209167480469, 160.61788940429688]","[368.6416015625, 207.83102416992188]","[330.2764892578125, 233.47166442871094]","[398.999755859375, 307.9744567871094]","[306.375732421875, 376.58807373046875]","[463.56390380859375, 339.9526672363281]","[403.4041442871094, 379.1873474121094]","[399.9036560058594, 419.5810546875]","[376.18023681640625, 449.359619140625]","[546.4102172851562, 418.2096862792969]","[520.0772094726562, 451.8737487792969]","[543.557861328125, 478.9613342285156]","[550.8711547851562, 503.77325439453125]"
946,"[432.7249450683594, 196.923583984375]","[433.762939453125, 182.7103729248047]","[428.4201965332031, 178.57017517089844]","[401.5289001464844, 166.40721130371094]","[392.9355773925781, 160.0466766357422]","[369.8840637207031, 207.18946838378906]","[329.92779541015625, 234.13284301757812]","[399.72418212890625, 305.6734313964844]","[306.146484375, 377.2035827636719]","[463.21868896484375, 338.4291687011719]","[403.2810363769531, 377.8109436035156]","[400.3127136230469, 416.484130859375]","[375.29925537109375, 447.00823974609375]","[548.483154296875, 412.8807678222656]","[519.6348876953125, 448.2536315917969]","[543.120849609375, 472.82098388671875]","[549.1616821289062, 499.7660827636719]"
