Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
865,"[439.2962951660156, 112.4791259765625]","[444.7818908691406, 98.33358764648438]","[428.1996765136719, 96.21546936035156]","[428.401611328125, 89.91991424560547]","[387.1974182128906, 86.806396484375]","[408.1458740234375, 147.7437286376953]","[344.4877624511719, 163.5335235595703]","[431.19708251953125, 253.33255004882812]","[382.95025634765625, 290.962646484375]","[481.2560119628906, 191.8599395751953]","[449.2991027832031, 196.6010284423828]","[449.1144104003906, 317.6427917480469]","[411.16143798828125, 341.309326171875]","[616.5823364257812, 303.4532165527344]","[594.422119140625, 318.4340515136719]","[652.1834106445312, 421.0001525878906]","[685.6912841796875, 440.7843933105469]"
866,"[438.8749694824219, 112.19176483154297]","[444.04095458984375, 97.92352294921875]","[427.99273681640625, 96.03742218017578]","[426.16473388671875, 89.26609802246094]","[386.8160095214844, 86.84129333496094]","[404.7699279785156, 146.89210510253906]","[344.84344482421875, 163.83352661132812]","[427.52947998046875, 252.6824951171875]","[384.14520263671875, 291.21240234375]","[479.2134704589844, 192.88719177246094]","[448.6231689453125, 197.30213928222656]","[446.8612060546875, 317.57354736328125]","[411.2289733886719, 341.69964599609375]","[614.665283203125, 303.84539794921875]","[594.0162963867188, 319.389404296875]","[652.7693481445312, 420.7061767578125]","[686.0424194335938, 441.08233642578125]"
867,"[438.1220703125, 111.6655044555664]","[443.4713134765625, 97.2909164428711]","[427.8013916015625, 95.4737777709961]","[423.9459228515625, 88.65815734863281]","[387.62310791015625, 86.74827575683594]","[399.8795471191406, 146.79464721679688]","[346.5102844238281, 164.81231689453125]","[420.10980224609375, 252.38055419921875]","[384.6776123046875, 292.00762939453125]","[476.13421630859375, 193.12046813964844]","[448.8667907714844, 199.35829162597656]","[442.128662109375, 317.7342224121094]","[410.5784912109375, 342.40374755859375]","[613.15869140625, 304.0295104980469]","[594.1439819335938, 320.7425537109375]","[653.1026611328125, 419.0035400390625]","[685.32568359375, 441.957275390625]"
868,"[437.62664794921875, 111.61656188964844]","[443.002197265625, 97.04979705810547]","[426.82763671875, 95.79242706298828]","[424.9908142089844, 88.64117431640625]","[386.849609375, 87.75119018554688]","[402.2587585449219, 146.5275421142578]","[346.2389221191406, 165.5076904296875]","[422.82220458984375, 251.4238739013672]","[383.3572082519531, 292.1230773925781]","[475.11126708984375, 194.6845703125]","[445.9512023925781, 199.88133239746094]","[444.06500244140625, 316.3556213378906]","[410.7734375, 341.4663391113281]","[613.2145385742188, 303.43975830078125]","[593.6356201171875, 321.14947509765625]","[653.982421875, 419.2366638183594]","[685.8353271484375, 442.6089782714844]"
869,"[437.8421630859375, 111.18923950195312]","[442.7996826171875, 96.57740020751953]","[426.9488525390625, 95.64983367919922]","[424.66845703125, 88.46543884277344]","[387.057861328125, 88.29913330078125]","[403.30401611328125, 146.20263671875]","[345.7436828613281, 166.31935119628906]","[425.4508972167969, 249.64889526367188]","[383.0209045410156, 292.94049072265625]","[477.66943359375, 192.01803588867188]","[448.88800048828125, 199.24319458007812]","[444.88653564453125, 315.8066101074219]","[410.69744873046875, 341.4254150390625]","[613.6802368164062, 302.2292175292969]","[593.7528076171875, 320.36920166015625]","[653.7279052734375, 417.8368835449219]","[685.5241088867188, 440.818359375]"
870,"[437.7680358886719, 111.06796264648438]","[442.3557434082031, 96.70326232910156]","[427.6239929199219, 95.48064422607422]","[422.2257385253906, 88.89930725097656]","[387.9141845703125, 88.18472290039062]","[400.47637939453125, 146.5309600830078]","[344.5854797363281, 166.4980926513672]","[422.04766845703125, 250.0169219970703]","[381.17816162109375, 293.63470458984375]","[474.8540344238281, 192.98095703125]","[446.1866760253906, 201.89027404785156]","[441.74810791015625, 316.72650146484375]","[408.805419921875, 342.0947570800781]","[611.4918823242188, 303.6866455078125]","[592.2120971679688, 320.4064636230469]","[653.1264038085938, 418.394287109375]","[685.7730102539062, 439.65948486328125]"
871,"[437.8807373046875, 111.14069366455078]","[442.330810546875, 96.77252197265625]","[427.3092041015625, 95.52005767822266]","[423.2603759765625, 88.56781768798828]","[387.16070556640625, 87.66380310058594]","[403.3429260253906, 146.1171112060547]","[344.2231140136719, 164.77090454101562]","[425.97711181640625, 252.00164794921875]","[379.94000244140625, 292.8134765625]","[477.4952087402344, 192.90394592285156]","[446.0354309082031, 199.54611206054688]","[446.29925537109375, 316.2428283691406]","[411.3270263671875, 341.20623779296875]","[613.8743896484375, 303.4147644042969]","[594.0297241210938, 320.1243591308594]","[653.3889770507812, 419.4026184082031]","[686.1871948242188, 440.4115295410156]"
872,"[438.04827880859375, 109.46090698242188]","[442.5526428222656, 94.86852264404297]","[426.4346008300781, 93.95993041992188]","[425.0790710449219, 88.04878234863281]","[385.3390808105469, 87.8045425415039]","[406.0959777832031, 148.12094116210938]","[344.2511901855469, 165.84335327148438]","[429.8682861328125, 254.99241638183594]","[380.7965087890625, 292.4627685546875]","[481.1906433105469, 192.39175415039062]","[449.89117431640625, 194.58665466308594]","[449.9108581542969, 316.57244873046875]","[413.06634521484375, 341.4589538574219]","[616.9844970703125, 301.5627136230469]","[596.59375, 319.0607604980469]","[654.7875366210938, 419.5483703613281]","[686.3053588867188, 440.9348449707031]"
873,"[437.10369873046875, 108.53986358642578]","[441.4716796875, 93.92784118652344]","[425.2938537597656, 93.41439056396484]","[425.2618408203125, 87.80843353271484]","[384.9071044921875, 88.26904296875]","[408.91033935546875, 147.76084899902344]","[343.0807800292969, 166.56443786621094]","[433.91107177734375, 252.01441955566406]","[379.21600341796875, 291.9873962402344]","[481.143310546875, 192.45718383789062]","[447.47882080078125, 194.74974060058594]","[451.13983154296875, 315.72357177734375]","[411.8633728027344, 340.7558288574219]","[617.1398315429688, 303.03765869140625]","[595.5391235351562, 319.7529296875]","[654.4913330078125, 421.1560363769531]","[686.376953125, 440.3023681640625]"
874,"[436.7910461425781, 108.56364440917969]","[441.12957763671875, 93.7939453125]","[424.80755615234375, 93.3240737915039]","[425.20672607421875, 87.63040924072266]","[384.38299560546875, 88.21060943603516]","[409.4376525878906, 148.51593017578125]","[342.7476806640625, 166.78712463378906]","[433.3648681640625, 254.44496154785156]","[379.18096923828125, 292.9720153808594]","[479.50067138671875, 193.80532836914062]","[444.74176025390625, 194.68423461914062]","[451.0056457519531, 316.99462890625]","[411.24298095703125, 341.5289611816406]","[616.419189453125, 304.5862731933594]","[594.9740600585938, 319.79241943359375]","[654.0143432617188, 422.43988037109375]","[686.1270141601562, 439.54376220703125]"
