Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
35,"[405.7172546386719, 141.61944580078125]","[406.8033142089844, 127.4948959350586]","[393.251708984375, 126.7417221069336]","[383.707275390625, 121.94879150390625]","[350.9424133300781, 125.88288879394531]","[356.589111328125, 182.0697784423828]","[329.49639892578125, 200.98370361328125]","[375.0793762207031, 283.01129150390625]","[360.2181091308594, 319.449462890625]","[445.2200622558594, 255.49855041503906]","[427.927734375, 261.6686096191406]","[400.52874755859375, 343.73260498046875]","[383.5469055175781, 365.945556640625]","[559.5621337890625, 329.74359130859375]","[551.127685546875, 349.9679260253906]","[546.4327392578125, 477.1717529296875]","[564.809326171875, 500.4359436035156]"
36,"[405.6799621582031, 142.08306884765625]","[406.7826232910156, 127.8619613647461]","[393.15802001953125, 127.17204284667969]","[383.7205810546875, 121.98661041259766]","[351.0107116699219, 126.15017700195312]","[356.87744140625, 181.9783172607422]","[329.8622131347656, 201.29861450195312]","[375.61297607421875, 283.82904052734375]","[360.6113586425781, 320.5432434082031]","[447.1983337402344, 256.1446533203125]","[428.6383056640625, 260.1273498535156]","[401.08184814453125, 343.67047119140625]","[384.2342834472656, 366.00872802734375]","[560.0584716796875, 330.59967041015625]","[551.7222290039062, 350.71392822265625]","[546.3118896484375, 478.5050354003906]","[565.0263061523438, 501.4013671875]"
37,"[404.9039611816406, 143.06423950195312]","[406.48876953125, 128.79830932617188]","[392.19903564453125, 127.8494644165039]","[384.1031188964844, 122.52610778808594]","[349.2537841796875, 126.00254821777344]","[356.0340881347656, 182.36888122558594]","[328.27606201171875, 201.931640625]","[374.83404541015625, 285.1324768066406]","[361.0177917480469, 323.38397216796875]","[445.6879577636719, 255.9609832763672]","[428.5016174316406, 260.7304992675781]","[400.588623046875, 344.35333251953125]","[383.1849060058594, 366.9416198730469]","[560.00634765625, 329.7841491699219]","[551.1324462890625, 350.4571228027344]","[546.2171630859375, 478.19769287109375]","[566.14306640625, 502.093505859375]"
38,"[404.7547302246094, 144.35494995117188]","[406.48675537109375, 130.13429260253906]","[392.1024169921875, 129.087890625]","[384.1157531738281, 123.21704864501953]","[349.1246643066406, 126.51460266113281]","[355.3661804199219, 182.08355712890625]","[328.4715576171875, 201.66888427734375]","[374.2358093261719, 284.9993591308594]","[361.8585205078125, 323.67694091796875]","[446.198486328125, 255.071044921875]","[429.0982666015625, 261.0604553222656]","[399.86785888671875, 344.4241027832031]","[382.9433288574219, 367.0190124511719]","[559.6393432617188, 330.39581298828125]","[551.0777587890625, 351.0698547363281]","[546.1823120117188, 478.31982421875]","[566.5932006835938, 502.43243408203125]"
39,"[404.15020751953125, 144.83917236328125]","[406.1001892089844, 130.6309356689453]","[391.41937255859375, 129.48104858398438]","[384.2956237792969, 123.61217498779297]","[348.4791259765625, 126.59486389160156]","[355.7164306640625, 182.5693817138672]","[328.1812744140625, 201.80438232421875]","[374.69500732421875, 285.9273986816406]","[362.3148193359375, 324.146728515625]","[446.8772277832031, 255.64334106445312]","[429.71221923828125, 260.6824645996094]","[400.706298828125, 345.08734130859375]","[383.3729553222656, 367.5361022949219]","[559.6176147460938, 330.2035217285156]","[550.7359619140625, 350.5805358886719]","[546.3013916015625, 478.6457824707031]","[567.0943603515625, 502.4644775390625]"
40,"[403.3067321777344, 145.7662811279297]","[405.5556640625, 131.5557861328125]","[390.713134765625, 130.08358764648438]","[383.9964904785156, 122.99095916748047]","[348.0231018066406, 125.35540771484375]","[354.8097839355469, 180.63497924804688]","[327.96533203125, 199.7072296142578]","[373.2788391113281, 285.1929931640625]","[362.67144775390625, 324.1595764160156]","[446.0206604003906, 254.88153076171875]","[429.6041564941406, 261.5335998535156]","[399.8553161621094, 343.9750061035156]","[382.9614562988281, 366.3459777832031]","[559.76953125, 330.2298278808594]","[550.926513671875, 350.5997619628906]","[545.2457885742188, 478.57501220703125]","[566.7626342773438, 503.16339111328125]"
41,"[401.5206298828125, 146.71412658691406]","[404.4355163574219, 132.5300750732422]","[388.47235107421875, 130.92617797851562]","[384.76336669921875, 125.17623901367188]","[345.80682373046875, 127.07975769042969]","[355.7926940917969, 183.96981811523438]","[327.4585876464844, 202.5059051513672]","[375.0428466796875, 288.28887939453125]","[363.3906555175781, 326.1695251464844]","[447.7304992675781, 256.81683349609375]","[428.5740051269531, 260.1593017578125]","[402.0246276855469, 344.5316467285156]","[384.1579284667969, 366.7306823730469]","[561.3208618164062, 329.9560546875]","[551.803466796875, 350.1277770996094]","[546.1717529296875, 479.5826110839844]","[568.4623413085938, 504.1997985839844]"
42,"[401.69525146484375, 146.19790649414062]","[404.43597412109375, 131.86854553222656]","[388.4796142578125, 130.47763061523438]","[384.55035400390625, 124.5490493774414]","[345.3169860839844, 126.94747924804688]","[355.3392333984375, 183.57742309570312]","[326.88427734375, 202.65087890625]","[374.6881103515625, 286.18450927734375]","[362.5904235839844, 324.6494140625]","[446.7851257324219, 255.6412353515625]","[427.73724365234375, 259.21392822265625]","[401.0052795410156, 344.8900146484375]","[383.05352783203125, 367.3789978027344]","[560.7015380859375, 329.3533935546875]","[551.3378295898438, 350.2778625488281]","[545.3314819335938, 477.7720642089844]","[567.3715209960938, 503.0367126464844]"
43,"[401.0302734375, 145.553955078125]","[403.8114013671875, 131.21951293945312]","[387.6883239746094, 129.83216857910156]","[384.10235595703125, 124.45121002197266]","[344.6992492675781, 126.89395141601562]","[354.9390563964844, 184.4760284423828]","[327.5711669921875, 202.7625732421875]","[373.9877624511719, 287.3963928222656]","[363.0363464355469, 323.7598876953125]","[446.9337158203125, 256.5776672363281]","[427.5184020996094, 259.37457275390625]","[401.673828125, 345.0493469238281]","[384.3674011230469, 367.1818542480469]","[560.8316040039062, 328.7071228027344]","[552.0231323242188, 349.2529296875]","[545.4287109375, 477.9188232421875]","[567.0262451171875, 502.9313049316406]"
44,"[400.782470703125, 145.69015502929688]","[403.8916015625, 131.44766235351562]","[387.3918762207031, 129.86233520507812]","[384.9639587402344, 124.87706756591797]","[344.5035095214844, 126.77554321289062]","[356.3287353515625, 184.91656494140625]","[327.0365905761719, 202.89894104003906]","[376.0021057128906, 288.30120849609375]","[362.49951171875, 324.4765319824219]","[449.1353759765625, 257.2879943847656]","[426.4668273925781, 258.0286865234375]","[402.9775390625, 344.9813232421875]","[384.5462341308594, 366.948974609375]","[561.4361572265625, 329.9373779296875]","[551.656494140625, 349.9888916015625]","[545.2499389648438, 479.1744689941406]","[567.5189819335938, 503.698974609375]"
